# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 6.463850e-05
1.236673e-01 4.217367e-02
1.529360e-01 1.672029e-01
1.891319e-01 4.348902e-01
2.338943e-01 8.074442e-01
2.892508e-01 1.140874e+00
3.577086e-01 1.322604e+00
4.423686e-01 1.250851e+00
5.470654e-01 1.045799e+00
6.765410e-01 7.852906e-01
8.366600e-01 5.543236e-01
1.034675e+00 4.085668e-01
1.279555e+00 3.312339e-01
1.582391e+00 2.593485e-01
1.956900e+00 1.822387e-01
2.420045e+00 1.123533e-01
2.992805e+00 8.264459e-02
3.701121e+00 6.612848e-02
4.577077e+00 5.626045e-02
5.660348e+00 5.210750e-02
7.000000e+00 4.803052e-02
7.089677e+00 4.808661e-02
7.180503e+00 4.817543e-02
7.272493e+00 4.826285e-02
7.365661e+00 4.835011e-02
7.460023e+00 4.848463e-02
7.555593e+00 4.902344e-02
7.652388e+00 4.996991e-02
7.750423e+00 5.092659e-02
7.849714e+00 5.189890e-02
7.950277e+00 5.289318e-02
8.052128e+00 5.540322e-02
8.155284e+00 5.928336e-02
8.259761e+00 6.632935e-02
8.365577e+00 7.767843e-02
8.472749e+00 9.050733e-02
8.581293e+00 1.047127e-01
8.691229e+00 1.199759e-01
8.802572e+00 1.367975e-01
8.915342e+00 1.565414e-01
9.029557e+00 1.778444e-01
9.145235e+00 1.995759e-01
9.262394e+00 2.196570e-01
9.381055e+00 2.381498e-01
9.501236e+00 2.512749e-01
9.622957e+00 2.610683e-01
9.746237e+00 2.649784e-01
9.871096e+00 2.647515e-01
9.997555e+00 2.598473e-01
1.012563e+01 2.523007e-01
1.025535e+01 2.432911e-01
1.038673e+01 2.339181e-01
1.051980e+01 2.233284e-01
1.065457e+01 2.120104e-01
1.079107e+01 1.999273e-01
1.092931e+01 1.886206e-01
1.106933e+01 1.779805e-01
1.121113e+01 1.676787e-01
1.135476e+01 1.574629e-01
1.150023e+01 1.467033e-01
1.164756e+01 1.360206e-01
1.179677e+01 1.259421e-01
1.194790e+01 1.163561e-01
1.210097e+01 1.084042e-01
1.225599e+01 1.015328e-01
1.241300e+01 9.531423e-02
1.257203e+01 9.123380e-02
1.273309e+01 8.954493e-02
1.289621e+01 8.786828e-02
1.306143e+01 8.816345e-02
1.322876e+01 9.065491e-02
1.339823e+01 9.358447e-02
1.356988e+01 9.680968e-02
1.374372e+01 1.004497e-01
1.391979e+01 1.042430e-01
1.409812e+01 1.078342e-01
1.427873e+01 1.111224e-01
1.446165e+01 1.146027e-01
1.464692e+01 1.186343e-01
1.483456e+01 1.230241e-01
1.502461e+01 1.283597e-01
1.521709e+01 1.374810e-01
1.541204e+01 1.477805e-01
1.560948e+01 1.589695e-01
1.580946e+01 1.711447e-01
1.601199e+01 1.835052e-01
1.621712e+01 1.945585e-01
1.642488e+01 2.053667e-01
1.663530e+01 2.126923e-01
1.684841e+01 2.179357e-01
1.706426e+01 2.216266e-01
1.728287e+01 2.224798e-01
1.750428e+01 2.224648e-01
1.772853e+01 2.203745e-01
1.795565e+01 2.176156e-01
1.818568e+01 2.141211e-01
1.841866e+01 2.102370e-01
1.865462e+01 2.066679e-01
1.889360e+01 2.033190e-01
1.913565e+01 2.000444e-01
1.938080e+01 1.968586e-01
1.962908e+01 1.940306e-01
1.988055e+01 1.915490e-01
2.013524e+01 1.892419e-01
2.039320e+01 1.871316e-01
2.065445e+01 1.850815e-01
2.091906e+01 1.830991e-01
2.118705e+01 1.817690e-01
2.145848e+01 1.807581e-01
2.173339e+01 1.797744e-01
2.201181e+01 1.788235e-01
2.229381e+01 1.780014e-01
2.257941e+01 1.771936e-01
2.286868e+01 1.763911e-01
2.316165e+01 1.755405e-01
2.345837e+01 1.746345e-01
2.375890e+01 1.737294e-01
2.406328e+01 1.726056e-01
2.437155e+01 1.710782e-01
2.468378e+01 1.694816e-01
2.500000e+01 1.678897e-01
3.073734e+01 1.356894e-01
3.779135e+01 1.013872e-01
4.646422e+01 7.133685e-02
5.712745e+01 4.312092e-02
7.023782e+01 2.336183e-02
8.635694e+01 1.182473e-02
1.061753e+02 5.531770e-03
1.305418e+02 2.438496e-03
1.605003e+02 1.025084e-03
1.973341e+02 4.154044e-04
2.426209e+02 1.634252e-04
2.983008e+02 6.290611e-05
3.667589e+02 2.381221e-05
4.509277e+02 8.897921e-06
5.544126e+02 3.291704e-06
6.816467e+02 1.208320e-06
8.380801e+02 4.409046e-07
1.030414e+03 1.601553e-07
1.266887e+03 5.798500e-08
1.557629e+03 2.094929e-08
1.915095e+03 7.561448e-09
2.354597e+03 2.730134e-09
2.894961e+03 9.876086e-10
3.559336e+03 3.586586e-10
4.376180e+03 1.311106e-10
5.380484e+03 4.841834e-11
6.615270e+03 1.814788e-11
8.133431e+03 6.943944e-12
1.000000e+04 1.968311e-12
