# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 8.616991e-05
1.236673e-01 4.220870e-02
1.529360e-01 1.681114e-01
1.891319e-01 4.417205e-01
2.338943e-01 8.197824e-01
2.892508e-01 1.153350e+00
3.577086e-01 1.324239e+00
4.423686e-01 1.258205e+00
5.470654e-01 1.045721e+00
6.765410e-01 7.867055e-01
8.366600e-01 5.549977e-01
1.034675e+00 4.139381e-01
1.279555e+00 3.390744e-01
1.582391e+00 2.662182e-01
1.956900e+00 1.870955e-01
2.420045e+00 1.154218e-01
2.992805e+00 8.422451e-02
3.701121e+00 6.650109e-02
4.577077e+00 5.531435e-02
5.660348e+00 5.039892e-02
7.000000e+00 4.575185e-02
7.089677e+00 4.577840e-02
7.180503e+00 4.584202e-02
7.272493e+00 4.590326e-02
7.365661e+00 4.596436e-02
7.460023e+00 4.607398e-02
7.555593e+00 4.658918e-02
7.652388e+00 4.751900e-02
7.750423e+00 4.846445e-02
7.849714e+00 4.943080e-02
7.950277e+00 5.042189e-02
8.052128e+00 5.297165e-02
8.155284e+00 5.693543e-02
8.259761e+00 6.414035e-02
8.365577e+00 7.567822e-02
8.472749e+00 8.857455e-02
8.581293e+00 1.027052e-01
8.691229e+00 1.177790e-01
8.802572e+00 1.343261e-01
8.915342e+00 1.537126e-01
9.029557e+00 1.745986e-01
9.145235e+00 1.958753e-01
9.262394e+00 2.155004e-01
9.381055e+00 2.335412e-01
9.501236e+00 2.462909e-01
9.622957e+00 2.557591e-01
9.746237e+00 2.594484e-01
9.871096e+00 2.590774e-01
9.997555e+00 2.541225e-01
1.012563e+01 2.465784e-01
1.025535e+01 2.376037e-01
1.038673e+01 2.282742e-01
1.051980e+01 2.177541e-01
1.065457e+01 2.065232e-01
1.079107e+01 1.945450e-01
1.092931e+01 1.833329e-01
1.106933e+01 1.727810e-01
1.121113e+01 1.625669e-01
1.135476e+01 1.524472e-01
1.150023e+01 1.418074e-01
1.164756e+01 1.312602e-01
1.179677e+01 1.213252e-01
1.194790e+01 1.118948e-01
1.210097e+01 1.040772e-01
1.225599e+01 9.732699e-02
1.241300e+01 9.122281e-02
1.257203e+01 8.720183e-02
1.273309e+01 8.550711e-02
1.289621e+01 8.382745e-02
1.306143e+01 8.406126e-02
1.322876e+01 8.642046e-02
1.339823e+01 8.919873e-02
1.356988e+01 9.225745e-02
1.374372e+01 9.571226e-02
1.391979e+01 9.931081e-02
1.409812e+01 1.027116e-01
1.427873e+01 1.058183e-01
1.446165e+01 1.091087e-01
1.464692e+01 1.129292e-01
1.483456e+01 1.170945e-01
1.502461e+01 1.221730e-01
1.521709e+01 1.309121e-01
1.541204e+01 1.408045e-01
1.560948e+01 1.515744e-01
1.580946e+01 1.633169e-01
1.601199e+01 1.752514e-01
1.621712e+01 1.859196e-01
1.642488e+01 1.963509e-01
1.663530e+01 2.033874e-01
1.684841e+01 2.083923e-01
1.706426e+01 2.118823e-01
1.728287e+01 2.126056e-01
1.750428e+01 2.124826e-01
1.772853e+01 2.103383e-01
1.795565e+01 2.075438e-01
1.818568e+01 2.040351e-01
1.841866e+01 2.001499e-01
1.865462e+01 1.965746e-01
1.889360e+01 1.932167e-01
1.913565e+01 1.899351e-01
1.938080e+01 1.867443e-01
1.962908e+01 1.839053e-01
1.988055e+01 1.814063e-01
2.013524e+01 1.790811e-01
2.039320e+01 1.769509e-01
2.065445e+01 1.748842e-01
2.091906e+01 1.728885e-01
2.118705e+01 1.715251e-01
2.145848e+01 1.704724e-01
2.173339e+01 1.694501e-01
2.201181e+01 1.684636e-01
2.229381e+01 1.676046e-01
2.257941e+01 1.667639e-01
2.286868e+01 1.659330e-01
2.316165e+01 1.650615e-01
2.345837e+01 1.641427e-01
2.375890e+01 1.632306e-01
2.406328e+01 1.621178e-01
2.437155e+01 1.606311e-01
2.468378e+01 1.590875e-01
2.500000e+01 1.575570e-01
3.073734e+01 1.278124e-01
3.779135e+01 9.657304e-02
4.646422e+01 6.865801e-02
5.712745e+01 4.189699e-02
7.023782e+01 2.287029e-02
8.635694e+01 1.164101e-02
1.061753e+02 5.469692e-03
1.305418e+02 2.419172e-03
1.605003e+02 1.019475e-03
1.973341e+02 4.138641e-04
2.426209e+02 1.630206e-04
2.983008e+02 6.280316e-05
3.667589e+02 2.378660e-05
4.509277e+02 8.891656e-06
5.544126e+02 3.290193e-06
6.816467e+02 1.207960e-06
8.380801e+02 4.408196e-07
1.030414e+03 1.601354e-07
1.266887e+03 5.798045e-08
1.557629e+03 2.094826e-08
1.915095e+03 7.561225e-09
2.354597e+03 2.730087e-09
2.894961e+03 9.876000e-10
3.559336e+03 3.586574e-10
4.376180e+03 1.311106e-10
5.380484e+03 4.841845e-11
6.615270e+03 1.814794e-11
8.133431e+03 6.943973e-12
1.000000e+04 1.968322e-12
