# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 4.337992e-05
1.236673e-01 3.466479e-04
1.529360e-01 1.468628e-03
1.891319e-01 4.247784e-03
2.338943e-01 6.109302e-03
2.892508e-01 7.963571e-03
3.577086e-01 1.029789e-02
4.423686e-01 8.885594e-03
5.470654e-01 8.106323e-03
6.765410e-01 5.424849e-03
8.366600e-01 3.319300e-03
1.034675e+00 1.877039e-03
1.279555e+00 9.590620e-04
1.582391e+00 7.566519e-04
1.956900e+00 5.301629e-04
2.420045e+00 3.685772e-04
2.992805e+00 2.950545e-04
3.701121e+00 3.612500e-04
4.577077e+00 5.711034e-04
5.660348e+00 8.021041e-04
7.000000e+00 1.088735e-03
7.089677e+00 1.115791e-03
7.180503e+00 1.144905e-03
7.272493e+00 1.174998e-03
7.365661e+00 1.206355e-03
7.460023e+00 1.240538e-03
7.555593e+00 1.289483e-03
7.652388e+00 1.354824e-03
7.750423e+00 1.424470e-03
7.849714e+00 1.498407e-03
7.950277e+00 1.577454e-03
8.052128e+00 1.715164e-03
8.155284e+00 1.904156e-03
8.259761e+00 2.195130e-03
8.365577e+00 2.607413e-03
8.472749e+00 3.068852e-03
8.581293e+00 3.593808e-03
8.691229e+00 4.185807e-03
8.802572e+00 4.866488e-03
8.915342e+00 5.680597e-03
9.029557e+00 6.599961e-03
9.145235e+00 7.599505e-03
9.262394e+00 8.622894e-03
9.381055e+00 9.670686e-03
9.501236e+00 1.062202e-02
9.622957e+00 1.152484e-02
9.746237e+00 1.227682e-02
9.871096e+00 1.291042e-02
9.997555e+00 1.337808e-02
1.012563e+01 1.372937e-02
1.025535e+01 1.399271e-02
1.038673e+01 1.420470e-02
1.051980e+01 1.431368e-02
1.065457e+01 1.432894e-02
1.079107e+01 1.423439e-02
1.092931e+01 1.411248e-02
1.106933e+01 1.395942e-02
1.121113e+01 1.375384e-02
1.135476e+01 1.347449e-02
1.150023e+01 1.306229e-02
1.164756e+01 1.255649e-02
1.179677e+01 1.200138e-02
1.194790e+01 1.138927e-02
1.210097e+01 1.085136e-02
1.225599e+01 1.035059e-02
1.241300e+01 9.852017e-03
1.257203e+01 9.565237e-03
1.273309e+01 9.565792e-03
1.289621e+01 9.549971e-03
1.306143e+01 9.809133e-03
1.322876e+01 1.040129e-02
1.339823e+01 1.107571e-02
1.356988e+01 1.181327e-02
1.374372e+01 1.263474e-02
1.391979e+01 1.350059e-02
1.409812e+01 1.435350e-02
1.427873e+01 1.517471e-02
1.446165e+01 1.604462e-02
1.464692e+01 1.702514e-02
1.483456e+01 1.808589e-02
1.502461e+01 1.933048e-02
1.521709e+01 2.125751e-02
1.541204e+01 2.341581e-02
1.560948e+01 2.575314e-02
1.580946e+01 2.828327e-02
1.601199e+01 3.086583e-02
1.621712e+01 3.324570e-02
1.642488e+01 3.560380e-02
1.663530e+01 3.738770e-02
1.684841e+01 3.882877e-02
1.706426e+01 4.000898e-02
1.728287e+01 4.069180e-02
1.750428e+01 4.120838e-02
1.772853e+01 4.133004e-02
1.795565e+01 4.129796e-02
1.818568e+01 4.109206e-02
1.841866e+01 4.077127e-02
1.865462e+01 4.047142e-02
1.889360e+01 4.017754e-02
1.913565e+01 3.986257e-02
1.938080e+01 3.953099e-02
1.962908e+01 3.924223e-02
1.988055e+01 3.899836e-02
2.013524e+01 3.876575e-02
2.039320e+01 3.855199e-02
2.065445e+01 3.832885e-02
2.091906e+01 3.809959e-02
2.118705e+01 3.800097e-02
2.145848e+01 3.796075e-02
2.173339e+01 3.791310e-02
2.201181e+01 3.786034e-02
2.229381e+01 3.782648e-02
2.257941e+01 3.778555e-02
2.286868e+01 3.773638e-02
2.316165e+01 3.766705e-02
2.345837e+01 3.757660e-02
2.375890e+01 3.747971e-02
2.406328e+01 3.732396e-02
2.437155e+01 3.706521e-02
2.468378e+01 3.678606e-02
2.500000e+01 3.650604e-02
3.073734e+01 3.116781e-02
3.779135e+01 2.696998e-02
4.646422e+01 2.271048e-02
5.712745e+01 1.660218e-02
7.023782e+01 1.068902e-02
8.635694e+01 6.240571e-03
1.061753e+02 3.295090e-03
1.305418e+02 1.606503e-03
1.605003e+02 7.341687e-04
1.973341e+02 3.187526e-04
2.426209e+02 1.327474e-04
2.983008e+02 5.354706e-05
3.667589e+02 2.106333e-05
4.509277e+02 8.120160e-06
5.544126e+02 3.079301e-06
6.816467e+02 1.152060e-06
8.380801e+02 4.263460e-07
1.030414e+03 1.564427e-07
1.266887e+03 5.704355e-08
1.557629e+03 2.070966e-08
1.915095e+03 7.499653e-09
2.354597e+03 2.713840e-09
2.894961e+03 9.831787e-10
3.559336e+03 3.574087e-10
4.376180e+03 1.307434e-10
5.380484e+03 4.830602e-11
6.615270e+03 1.811225e-11
8.133431e+03 6.932295e-12
1.000000e+04 1.966538e-12
