# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 5.204780e-05
1.236673e-01 4.204461e-02
1.529360e-01 1.673184e-01
1.891319e-01 4.329084e-01
2.338943e-01 7.987886e-01
2.892508e-01 1.128581e+00
3.577086e-01 1.312616e+00
4.423686e-01 1.244214e+00
5.470654e-01 1.039496e+00
6.765410e-01 7.782309e-01
8.366600e-01 5.479868e-01
1.034675e+00 3.999467e-01
1.279555e+00 3.190565e-01
1.582391e+00 2.476356e-01
1.956900e+00 1.737186e-01
2.420045e+00 1.078151e-01
2.992805e+00 7.976179e-02
3.701121e+00 6.461309e-02
4.577077e+00 5.598502e-02
5.660348e+00 5.257885e-02
7.000000e+00 4.910566e-02
7.089677e+00 4.918299e-02
7.180503e+00 4.929498e-02
7.272493e+00 4.940683e-02
7.365661e+00 4.951480e-02
7.460023e+00 4.967110e-02
7.555593e+00 5.022059e-02
7.652388e+00 5.116424e-02
7.750423e+00 5.211464e-02
7.849714e+00 5.307738e-02
7.950277e+00 5.406275e-02
8.052128e+00 5.650228e-02
8.155284e+00 6.026196e-02
8.259761e+00 6.709220e-02
8.365577e+00 7.814271e-02
8.472749e+00 9.070555e-02
8.581293e+00 1.046837e-01
8.691229e+00 1.197721e-01
8.802572e+00 1.364674e-01
8.915342e+00 1.561268e-01
9.029557e+00 1.774109e-01
9.145235e+00 1.991908e-01
9.262394e+00 2.193798e-01
9.381055e+00 2.380212e-01
9.501236e+00 2.513212e-01
9.622957e+00 2.612998e-01
9.746237e+00 2.653911e-01
9.871096e+00 2.653365e-01
9.997555e+00 2.605912e-01
1.012563e+01 2.531920e-01
1.025535e+01 2.443220e-01
1.038673e+01 2.350820e-01
1.051980e+01 2.246191e-01
1.065457e+01 2.134232e-01
1.079107e+01 2.014575e-01
1.092931e+01 1.902667e-01
1.106933e+01 1.797404e-01
1.121113e+01 1.695486e-01
1.135476e+01 1.594395e-01
1.150023e+01 1.487812e-01
1.164756e+01 1.381938e-01
1.179677e+01 1.282029e-01
1.194790e+01 1.186940e-01
1.210097e+01 1.108115e-01
1.225599e+01 1.040012e-01
1.241300e+01 9.783525e-02
1.257203e+01 9.380593e-02
1.273309e+01 9.217269e-02
1.289621e+01 9.054788e-02
1.306143e+01 9.090433e-02
1.322876e+01 9.347298e-02
1.339823e+01 9.648526e-02
1.356988e+01 9.979849e-02
1.374372e+01 1.035328e-01
1.391979e+01 1.074247e-01
1.409812e+01 1.111153e-01
1.427873e+01 1.145024e-01
1.446165e+01 1.180856e-01
1.464692e+01 1.222276e-01
1.483456e+01 1.267338e-01
1.502461e+01 1.321978e-01
1.521709e+01 1.414885e-01
1.541204e+01 1.519694e-01
1.560948e+01 1.633477e-01
1.580946e+01 1.757203e-01
1.601199e+01 1.882795e-01
1.621712e+01 1.995210e-01
1.642488e+01 2.105172e-01
1.663530e+01 2.180029e-01
1.684841e+01 2.233904e-01
1.706426e+01 2.272131e-01
1.728287e+01 2.281735e-01
1.750428e+01 2.282582e-01
1.772853e+01 2.262479e-01
1.795565e+01 2.235617e-01
1.818568e+01 2.201312e-01
1.841866e+01 2.163048e-01
1.865462e+01 2.127942e-01
1.889360e+01 2.095031e-01
1.913565e+01 2.062843e-01
1.938080e+01 2.031516e-01
1.962908e+01 2.003775e-01
1.988055e+01 1.979506e-01
2.013524e+01 1.956971e-01
2.039320e+01 1.936391e-01
2.065445e+01 1.916383e-01
2.091906e+01 1.897018e-01
2.118705e+01 1.884253e-01
2.145848e+01 1.874705e-01
2.173339e+01 1.865400e-01
2.201181e+01 1.856392e-01
2.229381e+01 1.848665e-01
2.257941e+01 1.841044e-01
2.286868e+01 1.833437e-01
2.316165e+01 1.825296e-01
2.345837e+01 1.816538e-01
2.375890e+01 1.807742e-01
2.406328e+01 1.796643e-01
2.437155e+01 1.781321e-01
2.468378e+01 1.765214e-01
2.500000e+01 1.749085e-01
3.073734e+01 1.412026e-01
3.779135e+01 1.047466e-01
4.646422e+01 7.317567e-02
5.712745e+01 4.394583e-02
7.023782e+01 2.368696e-02
8.635694e+01 1.194410e-02
1.061753e+02 5.571416e-03
1.305418e+02 2.450650e-03
1.605003e+02 1.028566e-03
1.973341e+02 4.163506e-04
2.426209e+02 1.636715e-04
2.983008e+02 6.296828e-05
3.667589e+02 2.382754e-05
4.509277e+02 8.901629e-06
5.544126e+02 3.292584e-06
6.816467e+02 1.208525e-06
8.380801e+02 4.409511e-07
1.030414e+03 1.601654e-07
1.266887e+03 5.798710e-08
1.557629e+03 2.094967e-08
1.915095e+03 7.561497e-09
2.354597e+03 2.730131e-09
2.894961e+03 9.876026e-10
3.559336e+03 3.586553e-10
4.376180e+03 1.311092e-10
5.380484e+03 4.841776e-11
6.615270e+03 1.814766e-11
8.133431e+03 6.943862e-12
1.000000e+04 1.968281e-12
