# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 4.709174e-05
1.236673e-01 4.191661e-02
1.529360e-01 1.668503e-01
1.891319e-01 4.335005e-01
2.338943e-01 7.927913e-01
2.892508e-01 1.117679e+00
3.577086e-01 1.301097e+00
4.423686e-01 1.234400e+00
5.470654e-01 1.028079e+00
6.765410e-01 7.651276e-01
8.366600e-01 5.268974e-01
1.034675e+00 3.585980e-01
1.279555e+00 2.567239e-01
1.582391e+00 1.867342e-01
1.956900e+00 1.300404e-01
2.420045e+00 8.420805e-02
2.992805e+00 6.391630e-02
3.701121e+00 5.441358e-02
4.577077e+00 4.997438e-02
5.660348e+00 4.878263e-02
7.000000e+00 4.711973e-02
7.089677e+00 4.723293e-02
7.180503e+00 4.737606e-02
7.272493e+00 4.752081e-02
7.365661e+00 4.766180e-02
7.460023e+00 4.784460e-02
7.555593e+00 4.834484e-02
7.652388e+00 4.916508e-02
7.750423e+00 4.999318e-02
7.849714e+00 5.083829e-02
7.950277e+00 5.170828e-02
8.052128e+00 5.377233e-02
8.155284e+00 5.696573e-02
8.259761e+00 6.284550e-02
8.365577e+00 7.261495e-02
8.472749e+00 8.406653e-02
8.581293e+00 9.711673e-02
8.691229e+00 1.114671e-01
8.802572e+00 1.275598e-01
8.915342e+00 1.466846e-01
9.029557e+00 1.675668e-01
9.145235e+00 1.890951e-01
9.262394e+00 2.092039e-01
9.381055e+00 2.278921e-01
9.501236e+00 2.414000e-01
9.622957e+00 2.516698e-01
9.746237e+00 2.561493e-01
9.871096e+00 2.565348e-01
9.997555e+00 2.522782e-01
1.012563e+01 2.453869e-01
1.025535e+01 2.370268e-01
1.038673e+01 2.282871e-01
1.051980e+01 2.183261e-01
1.065457e+01 2.076286e-01
1.079107e+01 1.961602e-01
1.092931e+01 1.854442e-01
1.106933e+01 1.753723e-01
1.121113e+01 1.656186e-01
1.135476e+01 1.559352e-01
1.150023e+01 1.457016e-01
1.164756e+01 1.355276e-01
1.179677e+01 1.259315e-01
1.194790e+01 1.168010e-01
1.210097e+01 1.092588e-01
1.225599e+01 1.027595e-01
1.241300e+01 9.688372e-02
1.257203e+01 9.309107e-02
1.273309e+01 9.163535e-02
1.289621e+01 9.018042e-02
1.306143e+01 9.066338e-02
1.322876e+01 9.332049e-02
1.339823e+01 9.642093e-02
1.356988e+01 9.982513e-02
1.374372e+01 1.036533e-01
1.391979e+01 1.076451e-01
1.409812e+01 1.114438e-01
1.427873e+01 1.149458e-01
1.446165e+01 1.186471e-01
1.464692e+01 1.229095e-01
1.483456e+01 1.275398e-01
1.502461e+01 1.331316e-01
1.521709e+01 1.425553e-01
1.541204e+01 1.531791e-01
1.560948e+01 1.647095e-01
1.580946e+01 1.772428e-01
1.601199e+01 1.899694e-01
1.621712e+01 2.013815e-01
1.642488e+01 2.125524e-01
1.663530e+01 2.202077e-01
1.684841e+01 2.257604e-01
1.706426e+01 2.297436e-01
1.728287e+01 2.308539e-01
1.750428e+01 2.310833e-01
1.772853e+01 2.292070e-01
1.795565e+01 2.266483e-01
1.818568e+01 2.233380e-01
1.841866e+01 2.196254e-01
1.865462e+01 2.162250e-01
1.889360e+01 2.130405e-01
1.913565e+01 2.099235e-01
1.938080e+01 2.068878e-01
1.962908e+01 2.042079e-01
1.988055e+01 2.018730e-01
2.013524e+01 1.997076e-01
2.039320e+01 1.977346e-01
2.065445e+01 1.958140e-01
2.091906e+01 1.939532e-01
2.118705e+01 1.927550e-01
2.145848e+01 1.918784e-01
2.173339e+01 1.910222e-01
2.201181e+01 1.901917e-01
2.229381e+01 1.894869e-01
2.257941e+01 1.887887e-01
2.286868e+01 1.880875e-01
2.316165e+01 1.873274e-01
2.345837e+01 1.864997e-01
2.375890e+01 1.856633e-01
2.406328e+01 1.845866e-01
2.437155e+01 1.830727e-01
2.468378e+01 1.814721e-01
2.500000e+01 1.798627e-01
3.073734e+01 1.452055e-01
3.779135e+01 1.071876e-01
4.646422e+01 7.450404e-02
5.712745e+01 4.453466e-02
7.023782e+01 2.391550e-02
8.635694e+01 1.202657e-02
1.061753e+02 5.598244e-03
1.305418e+02 2.458670e-03
1.605003e+02 1.030791e-03
1.973341e+02 4.169289e-04
2.426209e+02 1.638122e-04
2.983008e+02 6.300009e-05
3.667589e+02 2.383399e-05
4.509277e+02 8.902670e-06
5.544126e+02 3.292636e-06
6.816467e+02 1.208465e-06
8.380801e+02 4.409101e-07
1.030414e+03 1.601461e-07
1.266887e+03 5.797905e-08
1.557629e+03 2.094652e-08
1.915095e+03 7.560308e-09
2.354597e+03 2.729690e-09
2.894961e+03 9.874419e-10
3.559336e+03 3.585971e-10
4.376180e+03 1.310882e-10
5.380484e+03 4.841025e-11
6.615270e+03 1.814497e-11
8.133431e+03 6.942903e-12
1.000000e+04 1.967939e-12
