# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 1.095193e-04
1.236673e-01 4.262790e-02
1.529360e-01 1.720033e-01
1.891319e-01 4.540552e-01
2.338943e-01 8.360600e-01
2.892508e-01 1.166711e+00
3.577086e-01 1.331841e+00
4.423686e-01 1.263062e+00
5.470654e-01 1.049350e+00
6.765410e-01 7.908028e-01
8.366600e-01 5.585917e-01
1.034675e+00 4.173415e-01
1.279555e+00 3.432378e-01
1.582391e+00 2.700306e-01
1.956900e+00 1.897068e-01
2.420045e+00 1.164200e-01
2.992805e+00 8.437766e-02
3.701121e+00 6.563881e-02
4.577077e+00 5.344910e-02
5.660348e+00 4.779369e-02
7.000000e+00 4.258963e-02
7.089677e+00 4.258525e-02
7.180503e+00 4.261937e-02
7.272493e+00 4.264934e-02
7.365661e+00 4.268115e-02
7.460023e+00 4.276000e-02
7.555593e+00 4.324086e-02
7.652388e+00 4.413612e-02
7.750423e+00 4.504908e-02
7.849714e+00 4.598436e-02
7.950277e+00 4.694383e-02
8.052128e+00 4.946365e-02
8.155284e+00 5.339453e-02
8.259761e+00 6.055165e-02
8.365577e+00 7.201161e-02
8.472749e+00 8.480444e-02
8.581293e+00 9.880334e-02
8.691229e+00 1.137107e-01
8.802572e+00 1.300429e-01
8.915342e+00 1.491414e-01
9.029557e+00 1.696722e-01
9.145235e+00 1.905449e-01
9.262394e+00 2.097550e-01
9.381055e+00 2.273786e-01
9.501236e+00 2.397786e-01
9.622957e+00 2.489420e-01
9.746237e+00 2.524239e-01
9.871096e+00 2.519193e-01
9.997555e+00 2.469167e-01
1.012563e+01 2.393768e-01
1.025535e+01 2.304360e-01
1.038673e+01 2.211505e-01
1.051980e+01 2.106986e-01
1.065457e+01 1.995510e-01
1.079107e+01 1.876698e-01
1.092931e+01 1.765419e-01
1.106933e+01 1.660625e-01
1.121113e+01 1.559157e-01
1.135476e+01 1.458622e-01
1.150023e+01 1.352979e-01
1.164756e+01 1.248280e-01
1.179677e+01 1.149665e-01
1.194790e+01 1.056125e-01
1.210097e+01 9.785785e-02
1.225599e+01 9.116655e-02
1.241300e+01 8.512520e-02
1.257203e+01 8.113227e-02
1.273309e+01 7.941327e-02
1.289621e+01 7.771324e-02
1.306143e+01 7.787359e-02
1.322876e+01 8.009544e-02
1.339823e+01 8.272269e-02
1.356988e+01 8.562116e-02
1.374372e+01 8.890339e-02
1.391979e+01 9.232463e-02
1.409812e+01 9.555292e-02
1.427873e+01 9.849417e-02
1.446165e+01 1.016129e-01
1.464692e+01 1.052462e-01
1.483456e+01 1.092142e-01
1.502461e+01 1.140707e-01
1.521709e+01 1.224961e-01
1.541204e+01 1.320506e-01
1.560948e+01 1.424641e-01
1.580946e+01 1.538268e-01
1.601199e+01 1.653731e-01
1.621712e+01 1.756756e-01
1.642488e+01 1.857386e-01
1.663530e+01 1.924802e-01
1.684841e+01 1.972346e-01
1.706426e+01 2.005074e-01
1.728287e+01 2.010801e-01
1.750428e+01 2.008260e-01
1.772853e+01 1.986005e-01
1.795565e+01 1.957404e-01
1.818568e+01 1.921838e-01
1.841866e+01 1.882602e-01
1.865462e+01 1.846385e-01
1.889360e+01 1.812293e-01
1.913565e+01 1.778954e-01
1.938080e+01 1.746516e-01
1.962908e+01 1.717519e-01
1.988055e+01 1.691852e-01
2.013524e+01 1.667898e-01
2.039320e+01 1.645868e-01
2.065445e+01 1.624492e-01
2.091906e+01 1.603845e-01
2.118705e+01 1.589348e-01
2.145848e+01 1.577885e-01
2.173339e+01 1.566750e-01
2.201181e+01 1.556000e-01
2.229381e+01 1.546518e-01
2.257941e+01 1.537257e-01
2.286868e+01 1.528141e-01
2.316165e+01 1.518692e-01
2.345837e+01 1.508855e-01
2.375890e+01 1.499151e-01
2.406328e+01 1.487620e-01
2.437155e+01 1.472648e-01
2.468378e+01 1.457252e-01
2.500000e+01 1.442098e-01
3.073734e+01 1.168208e-01
3.779135e+01 8.953716e-02
4.646422e+01 6.465094e-02
5.712745e+01 4.003441e-02
7.023782e+01 2.211230e-02
8.635694e+01 1.135418e-02
1.061753e+02 5.371441e-03
1.305418e+02 2.388154e-03
1.605003e+02 1.010354e-03
1.973341e+02 4.113309e-04
2.426209e+02 1.623493e-04
2.983008e+02 6.263099e-05
3.667589e+02 2.374349e-05
4.509277e+02 8.881032e-06
5.544126e+02 3.287608e-06
6.816467e+02 1.207336e-06
8.380801e+02 4.406699e-07
1.030414e+03 1.600996e-07
1.266887e+03 5.797188e-08
1.557629e+03 2.094621e-08
1.915095e+03 7.560733e-09
2.354597e+03 2.729969e-09
2.894961e+03 9.875711e-10
3.559336e+03 3.586503e-10
4.376180e+03 1.311088e-10
5.380484e+03 4.841798e-11
6.615270e+03 1.814782e-11
8.133431e+03 6.943938e-12
1.000000e+04 1.968312e-12
