# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 5.084290e-05
1.236673e-01 4.194347e-02
1.529360e-01 1.670740e-01
1.891319e-01 4.332564e-01
2.338943e-01 7.944134e-01
2.892508e-01 1.120941e+00
3.577086e-01 1.305734e+00
4.423686e-01 1.238348e+00
5.470654e-01 1.032310e+00
6.765410e-01 7.725218e-01
8.366600e-01 5.400245e-01
1.034675e+00 3.863134e-01
1.279555e+00 2.997493e-01
1.582391e+00 2.294382e-01
1.956900e+00 1.605670e-01
2.420045e+00 1.003200e-01
2.992805e+00 7.445947e-02
3.701121e+00 6.116696e-02
4.577077e+00 5.408006e-02
5.660348e+00 5.158677e-02
7.000000e+00 4.886728e-02
7.089677e+00 4.896290e-02
7.180503e+00 4.909186e-02
7.272493e+00 4.922070e-02
7.365661e+00 4.934629e-02
7.460023e+00 4.951840e-02
7.555593e+00 5.005488e-02
7.652388e+00 5.095847e-02
7.750423e+00 5.186736e-02
7.849714e+00 5.278930e-02
7.950277e+00 5.373277e-02
8.052128e+00 5.602429e-02
8.155284e+00 5.955459e-02
8.259761e+00 6.599358e-02
8.365577e+00 7.651909e-02
8.472749e+00 8.863648e-02
8.581293e+00 1.022532e-01
8.691229e+00 1.170611e-01
8.802572e+00 1.335306e-01
8.915342e+00 1.529902e-01
9.029557e+00 1.741274e-01
9.145235e+00 1.958220e-01
9.262394e+00 2.159971e-01
9.381055e+00 2.346787e-01
9.501236e+00 2.480850e-01
9.622957e+00 2.582050e-01
9.746237e+00 2.624758e-01
9.871096e+00 2.626200e-01
9.997555e+00 2.580904e-01
1.012563e+01 2.509118e-01
1.025535e+01 2.422615e-01
1.038673e+01 2.332361e-01
1.051980e+01 2.229861e-01
1.065457e+01 2.120002e-01
1.079107e+01 2.002420e-01
1.092931e+01 1.892490e-01
1.106933e+01 1.789113e-01
1.121113e+01 1.689009e-01
1.135476e+01 1.589660e-01
1.150023e+01 1.484780e-01
1.164756e+01 1.380538e-01
1.179677e+01 1.282153e-01
1.194790e+01 1.188507e-01
1.210097e+01 1.110980e-01
1.225599e+01 1.044062e-01
1.241300e+01 9.835007e-02
1.257203e+01 9.441432e-02
1.273309e+01 9.285750e-02
1.289621e+01 9.130562e-02
1.306143e+01 9.172423e-02
1.322876e+01 9.434718e-02
1.339823e+01 9.741618e-02
1.356988e+01 1.007887e-01
1.374372e+01 1.045855e-01
1.391979e+01 1.085435e-01
1.409812e+01 1.123033e-01
1.427873e+01 1.157615e-01
1.446165e+01 1.194181e-01
1.464692e+01 1.236369e-01
1.483456e+01 1.282230e-01
1.502461e+01 1.337723e-01
1.521709e+01 1.431637e-01
1.541204e+01 1.537518e-01
1.560948e+01 1.652421e-01
1.580946e+01 1.777310e-01
1.601199e+01 1.904078e-01
1.621712e+01 2.017640e-01
1.642488e+01 2.128754e-01
1.663530e+01 2.204665e-01
1.684841e+01 2.259534e-01
1.706426e+01 2.298705e-01
1.728287e+01 2.309154e-01
1.750428e+01 2.310806e-01
1.772853e+01 2.291420e-01
1.795565e+01 2.265232e-01
1.818568e+01 2.231553e-01
1.841866e+01 2.193873e-01
1.865462e+01 2.159340e-01
1.889360e+01 2.126987e-01
1.913565e+01 2.095331e-01
1.938080e+01 2.064511e-01
1.962908e+01 2.037269e-01
1.988055e+01 2.013493e-01
2.013524e+01 1.991431e-01
2.039320e+01 1.971310e-01
2.065445e+01 1.951735e-01
2.091906e+01 1.932774e-01
2.118705e+01 1.920447e-01
2.145848e+01 1.911344e-01
2.173339e+01 1.902460e-01
2.201181e+01 1.893850e-01
2.229381e+01 1.886507e-01
2.257941e+01 1.879248e-01
2.286868e+01 1.871974e-01
2.316165e+01 1.864128e-01
2.345837e+01 1.855627e-01
2.375890e+01 1.847054e-01
2.406328e+01 1.836107e-01
2.437155e+01 1.820827e-01
2.468378e+01 1.804703e-01
2.500000e+01 1.788511e-01
3.073734e+01 1.443246e-01
3.779135e+01 1.066406e-01
4.646422e+01 7.420602e-02
5.712745e+01 4.440468e-02
7.023782e+01 2.386653e-02
8.635694e+01 1.200963e-02
1.061753e+02 5.593087e-03
1.305418e+02 2.457285e-03
1.605003e+02 1.030475e-03
1.973341e+02 4.168750e-04
2.426209e+02 1.638108e-04
2.983008e+02 6.300465e-05
3.667589e+02 2.383699e-05
4.509277e+02 8.904099e-06
5.544126e+02 3.293240e-06
6.816467e+02 1.208704e-06
8.380801e+02 4.410016e-07
1.030414e+03 1.601803e-07
1.266887e+03 5.799164e-08
1.557629e+03 2.095111e-08
1.915095e+03 7.561969e-09
2.354597e+03 2.730289e-09
2.894961e+03 9.876568e-10
3.559336e+03 3.586741e-10
4.376180e+03 1.311158e-10
5.380484e+03 4.842007e-11
6.615270e+03 1.814848e-11
8.133431e+03 6.944151e-12
1.000000e+04 1.968384e-12
