lambda_micron,nuFnu
0.1,8.844485737652451e-05
0.1236673,0.0005901113481027774
0.152936,0.0022329816376260793
0.1891319,0.005542774179666229
0.2338943,0.008089100770313894
0.2892508,0.010902283980418322
0.3577086,0.014794760559486211
0.4423686,0.014288635108057267
0.5470654,0.015237306858431804
0.676541,0.013040412771431949
0.83666,0.008079371584922111
1.034675,0.011627966938743461
1.279555,0.028328308437477023
1.582391,0.069011841352998
1.9569,0.09738834654436462
2.420045,0.08524657750204197
2.992805,0.06694831492078623
3.701121,0.05192143939401398
4.577077,0.04001449800878856
5.660348,0.03299924429479407
7.0,0.02665022705207715
7.089677,0.026517617936168584
7.180503,0.02641296951899837
7.272493,0.026304989249793582
7.365661,0.02619686673991941
7.460023,0.026122249419858922
7.555593,0.026344253954089954
7.652388,0.026859110171536617
7.750423,0.02737044407112208
7.849714,0.02787839917185301
7.950277,0.02838438608555595
8.052128,0.02989034234265963
8.155284,0.03214727615707653
8.259761,0.03588835811070661
8.365577,0.04076177509927531
8.472749,0.04465674622917366
8.581293,0.04741171896814881
8.691229,0.04908692388801931
8.802572,0.05000106742862372
8.915342,0.05048036534523621
9.029557,0.050827349100396886
9.145235,0.05139120882283508
9.262394,0.05232453811247981
9.381055,0.05363112474397612
9.501236,0.055037947078390916
9.622957,0.05648163377042284
9.746237,0.057672594791234794
9.871096,0.058611949143253635
9.997555,0.05917759675205644
10.12563,0.05947565042663816
10.25535,0.05957545325659137
10.38673,0.05955846222849609
10.5198,0.05932782017739227
10.65457,0.05890771310552972
10.79107,0.058268573460090574
10.92931,0.057558971689752415
11.06933,0.05676059252881239
11.21113,0.05582235444390715
11.35476,0.0546901164566805
11.50023,0.05322549114882594
11.64756,0.05147703029173427
11.79677,0.049518577247621334
11.9479,0.04732294048511089
12.10097,0.04521992594341301
12.25599,0.04315822485242445
12.413,0.041072957482874546
12.57203,0.039562953182334215
12.73309,0.03886300779092677
12.89621,0.03814186010336904
13.06143,0.03817887983343547
13.22876,0.03908141438002171
13.39823,0.04015340656550793
13.56988,0.041336808373722264
13.74372,0.04267460320354507
13.91979,0.04406804025970208
14.09812,0.045390182655820184
14.27873,0.046609724206662734
14.46165,0.04790830665903245
14.64692,0.049414697981836286
14.83456,0.05105930070627974
15.02461,0.053049281933742205
15.21709,0.05636325369585833
15.41204,0.06006579258850852
15.60948,0.06406057493640419
15.80946,0.06838732748968075
16.01199,0.07279394866909002
16.21712,0.07680897637394093
16.42488,0.08078664308330237
16.6353,0.08367038807659195
16.84841,0.08590047267347112
17.06426,0.08763370664824843
17.28287,0.08841713351218865
17.50428,0.08888934442245362
17.72853,0.08861694277379234
17.95565,0.08806514256358931
18.18568,0.0871986945861861
18.41866,0.08613150931251301
18.65462,0.08511981311181929
18.8936,0.08413405884848098
19.13565,0.08312289790204619
19.3808,0.0820942040648249
19.62908,0.081157395414182
19.88055,0.08031508289277048
20.13524,0.07950413245590662
20.3932,0.07873772359303867
20.65445,0.07796341814575548
20.91906,0.07718680427263591
21.18705,0.07665781121474705
21.45848,0.07624286845296645
21.73339,0.07582108464871797
22.01181,0.07539642274297198
22.29381,0.07501223732980968
22.57941,0.07462093633279336
22.86868,0.07422014666431433
23.16165,0.07378805658625971
23.45837,0.07332277603496253
23.7589,0.07285076111343712
24.06328,0.07227713345265906
24.37155,0.07152241036346368
24.68378,0.0707359158507037
25.0,0.06995276823875998
30.73734,0.05642434600374072
37.79135,0.04589733799834853
46.46422,0.03641060600356623
57.12745,0.025150783975686843
70.23782,0.015355863279782373
86.35694,0.00854946747695419
106.1753,0.004322782429562245
130.5418,0.002027155981105583
160.5003,0.0008947904207179951
197.3341,0.0003766220260221191
242.6209,0.00015251126729568296
298.3008,5.9969800293054755e-05
366.7589,2.3049759158917088e-05
450.9277,8.705182378240874e-06
554.4126,3.2439320015547294e-06
681.6467,1.1966429518690685e-06
838.0801,4.3807690951767734e-07
1030.414,1.5947448036615899e-07
1266.887,5.782157076895414e-08
1557.629,2.0910056627820325e-08
1915.095,7.55200380045227e-09
2354.597,2.727845835494848e-09
2894.961,9.87048622343573e-10
3559.336,3.5851938713974897e-10
4376.18,1.310752607316857e-10
5380.484,4.8409087766393107e-11
6615.27,1.8145373783653798e-11
8133.431,6.94323790024864e-12
10000.0,1.9681051931626994e-12
