lambda_micron,nuFnu
0.1,5.155378489397821e-05
0.1236673,0.042069991569041114
0.152936,0.16746377643851243
0.1891319,0.4330424438881496
0.2338943,0.7979958726252331
0.2892508,1.1274661203181648
0.3577086,1.3043099908313023
0.4423686,1.2439674585040945
0.5470654,1.032463113972708
0.676541,0.7754235702024803
0.83666,0.5445171609569007
1.034675,0.3996711246049973
1.279555,0.31986090677125617
1.582391,0.24784922781912708
1.9569,0.1737313982379119
2.420045,0.10824693995785258
2.992805,0.07984000588301476
3.701121,0.06465394657859432
4.577077,0.0558334459268331
5.660348,0.05241859937185306
7.0,0.04894154943317133
7.089677,0.04901654634592293
7.180503,0.049129751377994364
7.272493,0.04923909298722278
7.365661,0.04934875387547972
7.460023,0.04950544452125961
7.555593,0.05005421720906144
7.652388,0.050995644493528225
7.750423,0.05194661713079862
7.849714,0.05291318415124298
7.950277,0.05390411057728741
8.052128,0.05635472513268597
8.155284,0.06014118454178036
8.259761,0.0670279495352915
8.365577,0.07815436889459441
8.472749,0.09073750815592381
8.581293,0.10464465274880828
8.691229,0.11958374148185866
8.802572,0.1360778863068329
8.915342,0.15549615264808417
9.029557,0.1765348724022715
9.145235,0.19808264620476485
9.262394,0.21806949266179984
9.381055,0.2365321049925943
9.501236,0.24970865140535897
9.622957,0.2595963898270265
9.746237,0.2636529475822805
9.871096,0.26360142282985644
9.997555,0.25890289739169053
10.12563,0.25157515581650186
10.25535,0.24278974852586405
10.38673,0.23363778228481522
10.5198,0.22327417610658865
10.65457,0.2121859432448984
10.79107,0.20033872736105998
10.92931,0.18926262555094922
11.06933,0.17884926075139573
11.21113,0.16877283337381488
11.35476,0.15878645054964202
11.50023,0.14826749548288545
11.64756,0.1378309501033657
11.79677,0.1279944130817304
11.9479,0.11864334457983515
12.10097,0.11089672571487864
12.25599,0.10420460297906733
12.413,0.09814156149948602
12.57203,0.0941782471830442
12.73309,0.09257790096820205
12.89621,0.09098453178308419
13.06143,0.0913495047088327
13.22876,0.0938996502527027
13.39823,0.09688464182736982
13.56988,0.10016179858328518
13.74372,0.10385027488513185
13.91979,0.10769015823643492
14.09812,0.11132975709708187
14.27873,0.11466978823487686
14.46165,0.11820176778642384
14.64692,0.12228219375354317
14.83456,0.12672033114910758
15.02461,0.13210029348627525
15.21709,0.14124368098267032
15.41204,0.15156639561061586
15.60948,0.1627844314334033
15.80946,0.17499610375454408
16.01199,0.1874047986030587
16.21712,0.19852191944543632
16.42488,0.2094031443956731
16.6353,0.2168166201765062
16.84841,0.22215573703641897
17.06426,0.22594752225851192
17.28287,0.22690739803334434
17.50428,0.22700137809086574
17.72853,0.22502325964749095
17.95565,0.2223775561238888
18.18568,0.21899704165938244
18.41866,0.21522680161659255
18.65462,0.2117705872430673
18.8936,0.20853323722228567
19.13565,0.20536882479926735
19.3808,0.2022912182098265
19.62908,0.19956940362998932
19.88055,0.19719181978611813
20.13524,0.194986298256817
20.3932,0.19297497522198087
20.65445,0.19102090662076945
20.91906,0.18913101044677394
21.18705,0.18789239308504674
21.45848,0.18697142044956347
21.73339,0.1860746330534165
22.01181,0.18520719000531932
22.29381,0.18446581414125257
22.57941,0.1837349518859301
22.86868,0.18300521983892515
23.16165,0.1822224028274234
23.45837,0.18137832106802654
23.7589,0.180529962077558
24.06328,0.1794537548671755
24.37155,0.17796011903941747
24.68378,0.17638778611998335
25.0,0.1748119048006071
30.73734,0.1414853791671392
37.79135,0.10497415108962008
46.46422,0.07328956061603005
57.12745,0.04398948948098018
70.23782,0.02370102065627078
86.35694,0.011948291032518031
106.1753,0.005572564351430968
130.5418,0.0024509472924927568
160.5003,0.001028640644003729
197.3341,0.00041636884111770784
242.6209,0.00016367586199817456
298.3008,6.296932149584782e-05
366.7589,2.3827786946395696e-05
450.9277,8.901687713752238e-06
554.4126,3.2925976025352024e-06
681.6467,1.2085282814918684e-06
838.0801,4.4095182860149006e-07
1030.414,1.6016561013036331e-07
1266.887,5.7987141365449656e-08
1557.629,2.0949681445946425e-08
1915.095,7.561499741369057e-09
2354.597,2.7301310743668022e-09
2894.961,9.876027404871945e-10
3559.336,3.586553376728016e-10
4376.18,1.3110919829387524e-10
5380.484,4.84177611846484e-11
6615.27,1.8147659478182523e-11
8133.431,6.94386231007057e-12
10000.0,1.9682810928528776e-12
