# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 3.580678e-04
1.236673e-01 4.450638e-02
1.529360e-01 1.790269e-01
1.891319e-01 4.678743e-01
2.338943e-01 8.498134e-01
2.892508e-01 1.176312e+00
3.577086e-01 1.335335e+00
4.423686e-01 1.262187e+00
5.470654e-01 1.050043e+00
6.765410e-01 7.926823e-01
8.366600e-01 5.604874e-01
1.034675e+00 4.193283e-01
1.279555e+00 3.454247e-01
1.582391e+00 2.713724e-01
1.956900e+00 1.897888e-01
2.420045e+00 1.162888e-01
2.992805e+00 8.375560e-02
3.701121e+00 6.408498e-02
4.577077e+00 5.087823e-02
5.660348e+00 4.440514e-02
7.000000e+00 3.857741e-02
7.089677e+00 3.853911e-02
7.180503e+00 3.853799e-02
7.272493e+00 3.853406e-02
7.365661e+00 3.853029e-02
7.460023e+00 3.857363e-02
7.555593e+00 3.901448e-02
7.652388e+00 3.986552e-02
7.750423e+00 4.073639e-02
7.849714e+00 4.162820e-02
7.950277e+00 4.254437e-02
8.052128e+00 4.501107e-02
8.155284e+00 4.887528e-02
8.259761e+00 5.591399e-02
8.365577e+00 6.711449e-02
8.472749e+00 7.952272e-02
8.581293e+00 9.306877e-02
8.691229e+00 1.075021e-01
8.802572e+00 1.233313e-01
8.915342e+00 1.418570e-01
9.029557e+00 1.617674e-01
9.145235e+00 1.819898e-01
9.262394e+00 2.005666e-01
9.381055e+00 2.175735e-01
9.501236e+00 2.294855e-01
9.622957e+00 2.382438e-01
9.746237e+00 2.414869e-01
9.871096e+00 2.408661e-01
9.997555e+00 2.358903e-01
1.012563e+01 2.284595e-01
1.025535e+01 2.196757e-01
1.038673e+01 2.105605e-01
1.051980e+01 2.003180e-01
1.065457e+01 1.894029e-01
1.079107e+01 1.777786e-01
1.092931e+01 1.668852e-01
1.106933e+01 1.566208e-01
1.121113e+01 1.466802e-01
1.135476e+01 1.368309e-01
1.150023e+01 1.264871e-01
1.164756e+01 1.162379e-01
1.179677e+01 1.065852e-01
1.194790e+01 9.743513e-02
1.210097e+01 8.984807e-02
1.225599e+01 8.330513e-02
1.241300e+01 7.740636e-02
1.257203e+01 7.349203e-02
1.273309e+01 7.176661e-02
1.289621e+01 7.006296e-02
1.306143e+01 7.014103e-02
1.322876e+01 7.218933e-02
1.339823e+01 7.462512e-02
1.356988e+01 7.732037e-02
1.374372e+01 8.038372e-02
1.391979e+01 8.358106e-02
1.409812e+01 8.659362e-02
1.427873e+01 8.933028e-02
1.446165e+01 9.223679e-02
1.464692e+01 9.563745e-02
1.483456e+01 9.935960e-02
1.502461e+01 1.039365e-01
1.521709e+01 1.119526e-01
1.541204e+01 1.210585e-01
1.560948e+01 1.309896e-01
1.580946e+01 1.418278e-01
1.601199e+01 1.528294e-01
1.621712e+01 1.626176e-01
1.642488e+01 1.721597e-01
1.663530e+01 1.784977e-01
1.684841e+01 1.829193e-01
1.706426e+01 1.859137e-01
1.728287e+01 1.863157e-01
1.750428e+01 1.859228e-01
1.772853e+01 1.836392e-01
1.795565e+01 1.807459e-01
1.818568e+01 1.771837e-01
1.841866e+01 1.732682e-01
1.865462e+01 1.696403e-01
1.889360e+01 1.662145e-01
1.913565e+01 1.628599e-01
1.938080e+01 1.595910e-01
1.962908e+01 1.566514e-01
1.988055e+01 1.540306e-01
2.013524e+01 1.515745e-01
2.039320e+01 1.493032e-01
2.065445e+01 1.470958e-01
2.091906e+01 1.449602e-01
2.118705e+01 1.434134e-01
2.145848e+01 1.421575e-01
2.173339e+01 1.409350e-01
2.201181e+01 1.397515e-01
2.229381e+01 1.386913e-01
2.257941e+01 1.376553e-01
2.286868e+01 1.366368e-01
2.316165e+01 1.355915e-01
2.345837e+01 1.345150e-01
2.375890e+01 1.334570e-01
2.406328e+01 1.322350e-01
2.437155e+01 1.307008e-01
2.468378e+01 1.291385e-01
2.500000e+01 1.276111e-01
3.073734e+01 1.024716e-01
3.779135e+01 7.987490e-02
4.646422e+01 5.892906e-02
5.712745e+01 3.728481e-02
7.023782e+01 2.096215e-02
8.635694e+01 1.090837e-02
1.061753e+02 5.215013e-03
1.305418e+02 2.337566e-03
1.605003e+02 9.951405e-04
1.973341e+02 4.070239e-04
2.426209e+02 1.611895e-04
2.983008e+02 6.232967e-05
3.667589e+02 2.366716e-05
4.509277e+02 8.862024e-06
5.544126e+02 3.282923e-06
6.816467e+02 1.206187e-06
8.380801e+02 4.403878e-07
1.030414e+03 1.600300e-07
1.266887e+03 5.795448e-08
1.557629e+03 2.094178e-08
1.915095e+03 7.559575e-09
2.354597e+03 2.729656e-09
2.894961e+03 9.874831e-10
3.559336e+03 3.586245e-10
4.376180e+03 1.311010e-10
5.380484e+03 4.841548e-11
6.615270e+03 1.814700e-11
8.133431e+03 6.943664e-12
1.000000e+04 1.968219e-12
