lambda_micron,nuFnu
0.1,4.962238591083139e-05
0.1236673,0.041964975889317135
0.152936,0.1672591491660665
0.1891319,0.43325342254463445
0.2338943,0.7936492149987091
0.2892508,1.1200340450139354
0.3577086,1.2975767243943388
0.4423686,1.2382735517498717
0.5470654,1.0273394107637996
0.676541,0.7691419749419869
0.83666,0.5364333481565279
1.034675,0.38591503859467213
1.279555,0.30054993807322855
1.582391,0.22958382887414164
1.9569,0.16058768594082284
2.420045,0.1007249311794799
2.992805,0.07460918336180997
3.701121,0.061229236636066
4.577077,0.05395567422602472
5.660348,0.05143031017791485
7.0,0.04870923410422694
7.089677,0.048803586053813436
7.180503,0.048932910739963774
7.272493,0.04905996155407625
7.365661,0.04918645405885089
7.460023,0.049358934346529985
7.555593,0.049894676069402746
7.652388,0.050795370123476465
7.750423,0.05170426441674524
7.849714,0.05262902464493106
7.950277,0.0535775531966749
8.052128,0.0558810034523146
8.155284,0.05943853186384703
8.259761,0.06593839323513315
8.365577,0.07654800594262033
8.472749,0.08869500899041684
8.581293,0.10224795810909486
8.691229,0.11690865836059045
8.802572,0.13317366365298747
8.915342,0.15238464409070981
9.029557,0.17326775170213235
9.145235,0.19472289199032966
9.262394,0.2146910012515913
9.381055,0.23319040474501962
9.501236,0.24647217350995324
9.622957,0.25650042811172297
9.746237,0.26073611181031564
9.871096,0.26088322390967356
9.997555,0.2564009604063234
10.12563,0.24929422065318665
10.25535,0.24072973029638664
10.38673,0.23179338621398743
10.5198,0.22164474818788057
10.65457,0.2107694619833767
10.79107,0.1991331929121485
10.92931,0.18825947000619525
11.06933,0.1780392931029312
11.21113,0.16814935430566197
11.35476,0.15834318073450174
11.50023,0.14800216361261073
11.64756,0.13773605585549614
11.79677,0.12805975623431015
11.9479,0.1188585555057685
12.10097,0.11124463874847652
12.25599,0.10467238645010152
12.413,0.09871884024005492
12.57203,0.09484786997984296
12.73309,0.09332352047490293
12.89621,0.0918023974607522
13.06143,0.0922299664522982
13.22876,0.09483713702381877
13.39823,0.09788080917126557
13.56988,0.10121931614508471
13.74372,0.10497179609373807
13.91979,0.10887876073705799
14.09812,0.11258785294513793
14.27873,0.11599895265594085
14.46165,0.1196039792333156
14.64692,0.12376025660794701
14.83456,0.12827691926989043
15.02461,0.13373962635400427
15.21709,0.1429781822165939
15.41204,0.15340112899194244
15.60948,0.1647232345235239
15.80946,0.1770429305978535
16.01199,0.18956185306740986
16.21712,0.20078796119363093
16.42488,0.21177967895287766
16.6353,0.21929597956748162
16.84841,0.2247330874044548
17.06426,0.2286185770965979
17.28287,0.22966321494923497
17.50428,0.22983841029120564
17.72853,0.2279334096190967
17.95565,0.2253569835876192
18.18568,0.2220411479714141
18.41866,0.21833180265958785
18.65462,0.2149353956352952
18.8936,0.21175632125235508
19.13565,0.20864781743012628
19.3808,0.20562358933075825
19.62908,0.20295416880519274
19.88055,0.20062807800543234
20.13524,0.19847219941192956
20.3932,0.1965088595847723
20.65445,0.19460001685060774
20.91906,0.19275250672455535
21.18705,0.19155908603482713
21.45848,0.19068369018464548
21.73339,0.18983008005703117
22.01181,0.18900339964092958
22.29381,0.18830149333199342
22.57941,0.18760743341508268
22.86868,0.18691162687579152
23.16165,0.18615899749998283
23.45837,0.1853410120031038
23.7589,0.18451540563158494
24.06328,0.18345474430211287
24.37155,0.1819655770062627
24.68378,0.180391739374819
25.0,0.17880962789321947
30.73734,0.14464265531406684
37.79135,0.10687963570878505
46.46422,0.07432242427659651
57.12745,0.044448403368197775
70.23782,0.023880425797033065
86.35694,0.012013741028024575
106.1753,0.005594207139478662
130.5418,0.0024575747440766134
160.5003,0.0010305470965137973
197.3341,0.00041689263459409557
242.6209,0.0001638150513802938
298.3008,6.300565797661186e-05
366.7589,2.383722909855505e-05
450.9277,8.904155460009117e-06
554.4126,3.2932530100959386e-06
681.6467,1.20870705336664e-06
838.0801,4.41002330334153e-07
1030.414,1.6018044046799029e-07
1266.887,5.799167660175075e-08
1557.629,2.0951121472573147e-08
1915.095,7.56197128391569e-09
2354.597,2.7302894269298255e-09
2894.961,9.876569078338927e-10
3559.336,3.5867411127408564e-10
4376.18,1.3111576658894402e-10
5380.484,4.8420071683128144e-11
6615.27,1.814847553872931e-11
8133.431,6.9441513150983124e-12
10000.0,1.9683836225435497e-12
