# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 4.962239e-05
1.236673e-01 4.196498e-02
1.529360e-01 1.672591e-01
1.891319e-01 4.332534e-01
2.338943e-01 7.936492e-01
2.892508e-01 1.120034e+00
3.577086e-01 1.297577e+00
4.423686e-01 1.238274e+00
5.470654e-01 1.027339e+00
6.765410e-01 7.691420e-01
8.366600e-01 5.364333e-01
1.034675e+00 3.859150e-01
1.279555e+00 3.005499e-01
1.582391e+00 2.295838e-01
1.956900e+00 1.605877e-01
2.420045e+00 1.007249e-01
2.992805e+00 7.460918e-02
3.701121e+00 6.122924e-02
4.577077e+00 5.395567e-02
5.660348e+00 5.143031e-02
7.000000e+00 4.870923e-02
7.089677e+00 4.880359e-02
7.180503e+00 4.893291e-02
7.272493e+00 4.905996e-02
7.365661e+00 4.918645e-02
7.460023e+00 4.935893e-02
7.555593e+00 4.989468e-02
7.652388e+00 5.079537e-02
7.750423e+00 5.170426e-02
7.849714e+00 5.262902e-02
7.950277e+00 5.357755e-02
8.052128e+00 5.588100e-02
8.155284e+00 5.943853e-02
8.259761e+00 6.593839e-02
8.365577e+00 7.654801e-02
8.472749e+00 8.869501e-02
8.581293e+00 1.022480e-01
8.691229e+00 1.169087e-01
8.802572e+00 1.331737e-01
8.915342e+00 1.523846e-01
9.029557e+00 1.732678e-01
9.145235e+00 1.947229e-01
9.262394e+00 2.146910e-01
9.381055e+00 2.331904e-01
9.501236e+00 2.464722e-01
9.622957e+00 2.565004e-01
9.746237e+00 2.607361e-01
9.871096e+00 2.608832e-01
9.997555e+00 2.564010e-01
1.012563e+01 2.492942e-01
1.025535e+01 2.407297e-01
1.038673e+01 2.317934e-01
1.051980e+01 2.216447e-01
1.065457e+01 2.107695e-01
1.079107e+01 1.991332e-01
1.092931e+01 1.882595e-01
1.106933e+01 1.780393e-01
1.121113e+01 1.681494e-01
1.135476e+01 1.583432e-01
1.150023e+01 1.480022e-01
1.164756e+01 1.377361e-01
1.179677e+01 1.280598e-01
1.194790e+01 1.188586e-01
1.210097e+01 1.112446e-01
1.225599e+01 1.046724e-01
1.241300e+01 9.871884e-02
1.257203e+01 9.484787e-02
1.273309e+01 9.332352e-02
1.289621e+01 9.180240e-02
1.306143e+01 9.222997e-02
1.322876e+01 9.483714e-02
1.339823e+01 9.788081e-02
1.356988e+01 1.012193e-01
1.374372e+01 1.049718e-01
1.391979e+01 1.088788e-01
1.409812e+01 1.125879e-01
1.427873e+01 1.159990e-01
1.446165e+01 1.196040e-01
1.464692e+01 1.237603e-01
1.483456e+01 1.282769e-01
1.502461e+01 1.337396e-01
1.521709e+01 1.429782e-01
1.541204e+01 1.534011e-01
1.560948e+01 1.647232e-01
1.580946e+01 1.770429e-01
1.601199e+01 1.895619e-01
1.621712e+01 2.007880e-01
1.642488e+01 2.117797e-01
1.663530e+01 2.192960e-01
1.684841e+01 2.247331e-01
1.706426e+01 2.286186e-01
1.728287e+01 2.296632e-01
1.750428e+01 2.298384e-01
1.772853e+01 2.279334e-01
1.795565e+01 2.253570e-01
1.818568e+01 2.220411e-01
1.841866e+01 2.183318e-01
1.865462e+01 2.149354e-01
1.889360e+01 2.117563e-01
1.913565e+01 2.086478e-01
1.938080e+01 2.056236e-01
1.962908e+01 2.029542e-01
1.988055e+01 2.006281e-01
2.013524e+01 1.984722e-01
2.039320e+01 1.965089e-01
2.065445e+01 1.946000e-01
2.091906e+01 1.927525e-01
2.118705e+01 1.915591e-01
2.145848e+01 1.906837e-01
2.173339e+01 1.898301e-01
2.201181e+01 1.890034e-01
2.229381e+01 1.883015e-01
2.257941e+01 1.876074e-01
2.286868e+01 1.869116e-01
2.316165e+01 1.861590e-01
2.345837e+01 1.853410e-01
2.375890e+01 1.845154e-01
2.406328e+01 1.834547e-01
2.437155e+01 1.819656e-01
2.468378e+01 1.803917e-01
2.500000e+01 1.788096e-01
3.073734e+01 1.446427e-01
3.779135e+01 1.068796e-01
4.646422e+01 7.432242e-02
5.712745e+01 4.444840e-02
7.023782e+01 2.388043e-02
8.635694e+01 1.201374e-02
1.061753e+02 5.594207e-03
1.305418e+02 2.457575e-03
1.605003e+02 1.030547e-03
1.973341e+02 4.168926e-04
2.426209e+02 1.638151e-04
2.983008e+02 6.300566e-05
3.667589e+02 2.383723e-05
4.509277e+02 8.904155e-06
5.544126e+02 3.293253e-06
6.816467e+02 1.208707e-06
8.380801e+02 4.410023e-07
1.030414e+03 1.601804e-07
1.266887e+03 5.799168e-08
1.557629e+03 2.095112e-08
1.915095e+03 7.561971e-09
2.354597e+03 2.730289e-09
2.894961e+03 9.876569e-10
3.559336e+03 3.586741e-10
4.376180e+03 1.311158e-10
5.380484e+03 4.842007e-11
6.615270e+03 1.814848e-11
8.133431e+03 6.944151e-12
1.000000e+04 1.968384e-12
