# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 5.155378e-05
1.236673e-01 4.206999e-02
1.529360e-01 1.674638e-01
1.891319e-01 4.330424e-01
2.338943e-01 7.979959e-01
2.892508e-01 1.127466e+00
3.577086e-01 1.304310e+00
4.423686e-01 1.243967e+00
5.470654e-01 1.032463e+00
6.765410e-01 7.754236e-01
8.366600e-01 5.445172e-01
1.034675e+00 3.996711e-01
1.279555e+00 3.198609e-01
1.582391e+00 2.478492e-01
1.956900e+00 1.737314e-01
2.420045e+00 1.082469e-01
2.992805e+00 7.984001e-02
3.701121e+00 6.465395e-02
4.577077e+00 5.583345e-02
5.660348e+00 5.241860e-02
7.000000e+00 4.894155e-02
7.089677e+00 4.901655e-02
7.180503e+00 4.912975e-02
7.272493e+00 4.923909e-02
7.365661e+00 4.934875e-02
7.460023e+00 4.950544e-02
7.555593e+00 5.005422e-02
7.652388e+00 5.099564e-02
7.750423e+00 5.194662e-02
7.849714e+00 5.291318e-02
7.950277e+00 5.390411e-02
8.052128e+00 5.635473e-02
8.155284e+00 6.014118e-02
8.259761e+00 6.702795e-02
8.365577e+00 7.815437e-02
8.472749e+00 9.073751e-02
8.581293e+00 1.046447e-01
8.691229e+00 1.195837e-01
8.802572e+00 1.360779e-01
8.915342e+00 1.554962e-01
9.029557e+00 1.765349e-01
9.145235e+00 1.980826e-01
9.262394e+00 2.180695e-01
9.381055e+00 2.365321e-01
9.501236e+00 2.497087e-01
9.622957e+00 2.595964e-01
9.746237e+00 2.636529e-01
9.871096e+00 2.636014e-01
9.997555e+00 2.589029e-01
1.012563e+01 2.515752e-01
1.025535e+01 2.427897e-01
1.038673e+01 2.336378e-01
1.051980e+01 2.232742e-01
1.065457e+01 2.121859e-01
1.079107e+01 2.003387e-01
1.092931e+01 1.892626e-01
1.106933e+01 1.788493e-01
1.121113e+01 1.687728e-01
1.135476e+01 1.587865e-01
1.150023e+01 1.482675e-01
1.164756e+01 1.378310e-01
1.179677e+01 1.279944e-01
1.194790e+01 1.186433e-01
1.210097e+01 1.108967e-01
1.225599e+01 1.042046e-01
1.241300e+01 9.814156e-02
1.257203e+01 9.417825e-02
1.273309e+01 9.257790e-02
1.289621e+01 9.098453e-02
1.306143e+01 9.134950e-02
1.322876e+01 9.389965e-02
1.339823e+01 9.688464e-02
1.356988e+01 1.001618e-01
1.374372e+01 1.038503e-01
1.391979e+01 1.076902e-01
1.409812e+01 1.113298e-01
1.427873e+01 1.146698e-01
1.446165e+01 1.182018e-01
1.464692e+01 1.222822e-01
1.483456e+01 1.267203e-01
1.502461e+01 1.321003e-01
1.521709e+01 1.412437e-01
1.541204e+01 1.515664e-01
1.560948e+01 1.627844e-01
1.580946e+01 1.749961e-01
1.601199e+01 1.874048e-01
1.621712e+01 1.985219e-01
1.642488e+01 2.094031e-01
1.663530e+01 2.168166e-01
1.684841e+01 2.221557e-01
1.706426e+01 2.259475e-01
1.728287e+01 2.269074e-01
1.750428e+01 2.270014e-01
1.772853e+01 2.250233e-01
1.795565e+01 2.223776e-01
1.818568e+01 2.189970e-01
1.841866e+01 2.152268e-01
1.865462e+01 2.117706e-01
1.889360e+01 2.085332e-01
1.913565e+01 2.053688e-01
1.938080e+01 2.022912e-01
1.962908e+01 1.995694e-01
1.988055e+01 1.971918e-01
2.013524e+01 1.949863e-01
2.039320e+01 1.929750e-01
2.065445e+01 1.910209e-01
2.091906e+01 1.891310e-01
2.118705e+01 1.878924e-01
2.145848e+01 1.869714e-01
2.173339e+01 1.860746e-01
2.201181e+01 1.852072e-01
2.229381e+01 1.844658e-01
2.257941e+01 1.837350e-01
2.286868e+01 1.830052e-01
2.316165e+01 1.822224e-01
2.345837e+01 1.813783e-01
2.375890e+01 1.805300e-01
2.406328e+01 1.794538e-01
2.437155e+01 1.779601e-01
2.468378e+01 1.763878e-01
2.500000e+01 1.748119e-01
3.073734e+01 1.414854e-01
3.779135e+01 1.049742e-01
4.646422e+01 7.328956e-02
5.712745e+01 4.398949e-02
7.023782e+01 2.370102e-02
8.635694e+01 1.194829e-02
1.061753e+02 5.572564e-03
1.305418e+02 2.450947e-03
1.605003e+02 1.028641e-03
1.973341e+02 4.163688e-04
2.426209e+02 1.636759e-04
2.983008e+02 6.296932e-05
3.667589e+02 2.382779e-05
4.509277e+02 8.901688e-06
5.544126e+02 3.292598e-06
6.816467e+02 1.208528e-06
8.380801e+02 4.409518e-07
1.030414e+03 1.601656e-07
1.266887e+03 5.798714e-08
1.557629e+03 2.094968e-08
1.915095e+03 7.561500e-09
2.354597e+03 2.730131e-09
2.894961e+03 9.876027e-10
3.559336e+03 3.586553e-10
4.376180e+03 1.311092e-10
5.380484e+03 4.841776e-11
6.615270e+03 1.814766e-11
8.133431e+03 6.943862e-12
1.000000e+04 1.968281e-12
