lambda_micron,nuFnu
0.1,6.332797055765678e-05
0.1236673,0.04220547676896337
0.152936,0.16736923067750317
0.1891319,0.4350183816387344
0.2338943,0.8065694239390795
0.2892508,1.1389852013733142
0.3577086,1.3145576706852875
0.4423686,1.2514646738428878
0.5470654,1.0394755656984878
0.676541,0.7815841636925553
0.83666,0.5506377125847786
1.034675,0.4084480721571216
1.279555,0.3320812265240476
1.582391,0.259641360895668
1.9569,0.18225813208199326
2.420045,0.11271909972211715
2.992805,0.08275612584473792
3.701121,0.06617138587791704
4.577077,0.056113637368433826
5.660348,0.05194771557173295
7.0,0.04787597166950689
7.089677,0.0479290117954269
7.180503,0.04802055628771747
7.272493,0.04810851773724944
7.365661,0.048197074890177154
7.460023,0.04833289198169771
7.555593,0.04887271143399064
7.652388,0.049820871079144735
7.750423,0.050780292666796546
7.849714,0.05175870730493827
7.950277,0.052761181854029324
8.052128,0.05528737722434775
8.155284,0.05919913803409744
8.259761,0.0663019380023049
8.365577,0.07771238612757796
8.472749,0.0905374197610948
8.581293,0.10465009507673398
8.691229,0.11975265485848945
8.802572,0.13637200037872957
8.915342,0.15588129793551112
9.029557,0.17694810639155936
9.145235,0.1984557709808738
9.262394,0.2183406605479999
9.381055,0.2366581980365552
9.501236,0.24966196798013326
9.622957,0.2593657260795123
9.746237,0.26324123658419946
9.871096,0.2630166560491507
9.997555,0.2581594550450557
10.12563,0.25068307714906374
10.25535,0.24175716515344808
10.38673,0.23246999578559882
10.5198,0.22197738679278156
10.65457,0.2107648157643211
10.79107,0.19879569596200783
10.92931,0.1875992674962094
11.06933,0.17706626736950204
11.21113,0.16687359378663844
11.35476,0.1567736346910192
11.50023,0.1461455817609634
11.64756,0.13560563820527013
11.79677,0.1256747595502812
11.9479,0.11624109163956174
12.10097,0.10842284438282816
12.25599,0.10167030755243416
12.413,0.09555810202144459
12.57203,0.09154727769737601
12.73309,0.08989263336701266
12.89621,0.08824913467916752
13.06143,0.0885513068766272
13.22876,0.09101939793461643
13.39823,0.09391661087679559
13.56988,0.0971014678399517
13.74372,0.1006917276940398
13.91979,0.10443014055068228
14.09812,0.10796848000984396
14.27873,0.11120857752632943
14.46165,0.11463729734929497
14.64692,0.11860747534590954
14.83456,0.12293039566463985
15.02461,0.12818437120092854
15.21709,0.1371645619831112
15.41204,0.14731445794459003
15.60948,0.15835306303231655
15.80946,0.1703776302204184
16.01199,0.18259721904999476
16.21712,0.19353360446346168
16.42488,0.20423327899750177
16.6353,0.21149017025204764
16.84841,0.21668743712369218
17.06426,0.22034856300683628
17.28287,0.22120088095434004
17.50428,0.22119441074431778
17.72853,0.2191343111597991
17.95565,0.2164133997331287
18.18568,0.21296586528420466
18.41866,0.209134304790084
18.65462,0.20561607971975673
18.8936,0.20231723978414956
19.13565,0.19909347913670564
19.3808,0.19595906368923172
19.62908,0.1931798207421629
19.88055,0.19074413708521137
20.13524,0.18848195641704849
20.3932,0.18641514547732407
20.65445,0.18440888329702737
20.91906,0.18247024379942223
21.18705,0.1811758654651265
21.45848,0.18019687997216055
21.73339,0.17924512639793438
22.01181,0.17832585563583558
22.29381,0.17753375724004442
22.57941,0.17675580060010482
22.86868,0.17598298619446234
23.16165,0.17516271173861242
23.45837,0.17428734485498115
23.7589,0.17341268487992995
24.06328,0.1723218786145045
24.37155,0.1708322193955287
24.68378,0.16927332679434196
25.0,0.16771812839150543
30.73734,0.1359229936041664
37.79135,0.10160004093451357
46.46422,0.0714485706789241
57.12745,0.04316543304867166
70.23782,0.023376580849092776
86.35694,0.011829220279586874
106.1753,0.005533016009347924
130.5418,0.002438822513758444
160.5003,0.0010251661580085395
197.3341,0.0004154245520331044
242.6209,0.00016343003169231202
298.3008,6.290727024663875e-05
366.7589,2.3812486166788337e-05
450.9277,8.897985643635472e-06
554.4126,3.2917194914849347e-06
681.6467,1.2083240033936218e-06
838.0801,4.4090546301553416e-07
1030.414,1.601554628466513e-07
1266.887,5.798505115096931e-08
1557.629,2.0949300557654687e-08
1915.095,7.561450879690372e-09
2354.597,2.7301341739339636e-09
2894.961,9.876087118020238e-10
3559.336,3.586586139671043e-10
4376.18,1.311106352481257e-10
5380.484,4.841833735167814e-11
6615.27,1.814787976951477e-11
8133.431,6.9439443193166145e-12
10000.0,1.968311061584057e-12
