lambda_micron,nuFnu
0.1,0.00035806782006063376
0.1236673,0.04450638052188949
0.152936,0.1790269477363885
0.1891319,0.4678742625866733
0.2338943,0.849813399190035
0.2892508,1.1763122371446972
0.3577086,1.3353350033293458
0.4423686,1.2621874281082948
0.5470654,1.0500425467926087
0.676541,0.7926823171127214
0.83666,0.5604873706588366
1.034675,0.4193283066010482
1.279555,0.345424728740215
1.582391,0.2713724104903184
1.9569,0.18978882683399248
2.420045,0.11628876195682306
2.992805,0.08375559816547629
3.701121,0.06408498185035691
4.577077,0.050878225092137616
5.660348,0.0444051393579857
7.0,0.03857741292144024
7.089677,0.03853910584616284
7.180503,0.03853799081734114
7.272493,0.038534055644049645
7.365661,0.038530294345988265
7.460023,0.038573625260475634
7.555593,0.03901448478069032
7.652388,0.039865520472554185
7.750423,0.040736390180416256
7.849714,0.04162820295131704
7.950277,0.042544367488113743
8.052128,0.045011067251856704
8.155284,0.048875276558455985
8.259761,0.055913990272934644
8.365577,0.06711448824342778
8.472749,0.07952271706940767
8.581293,0.09306876923112378
8.691229,0.10750209693742707
8.802572,0.12333130015988193
8.915342,0.14185699834194485
9.029557,0.16176744715335453
9.145235,0.1819897988989705
9.262394,0.20056664164857546
9.381055,0.21757345031538758
9.501236,0.22948549603609375
9.622957,0.2382437825136527
9.746237,0.24148691007170472
9.871096,0.2408660932074105
9.997555,0.23589025806893224
10.12563,0.22845947802984462
10.25535,0.21967569358829625
10.38673,0.210560498491935
10.5198,0.20031803832983863
10.65457,0.18940293126148045
10.79107,0.17777863454825887
10.92931,0.1668851901743385
11.06933,0.1566208221558527
11.21113,0.14668018600633181
11.35476,0.13683086136392272
11.50023,0.12648708274784848
11.64756,0.11623787972664143
11.79677,0.10658515902762447
11.9479,0.0974351328899633
12.10097,0.08984806944970015
12.25599,0.08330512501479505
12.413,0.07740636335791466
12.57203,0.07349203103075205
12.73309,0.07176661463013771
12.89621,0.07006296109697265
13.06143,0.07014102920293444
13.22876,0.0721893307924373
13.39823,0.07462511895416366
13.56988,0.07732036661367617
13.74372,0.08038371727717034
13.91979,0.08358105685492534
14.09812,0.08659362255966102
14.27873,0.08933027619052984
14.46165,0.09223679314213179
14.64692,0.09563745371345295
14.83456,0.09935959579335639
15.02461,0.10393647532456093
15.21709,0.11195257723611525
15.41204,0.1210584726292484
15.60948,0.1309896223624138
15.80946,0.1418278088814662
16.01199,0.15282941388864765
16.21712,0.16261761772187605
16.42488,0.1721597354579124
16.6353,0.17849765390238048
16.84841,0.18291933808092525
17.06426,0.18591371507202722
17.28287,0.1863157205365703
17.50428,0.1859227950141524
17.72853,0.18363916512263892
17.95565,0.18074591848379318
18.18568,0.17718369531415748
18.41866,0.173268157282232
18.65462,0.1696402715438725
18.8936,0.1662145203806871
19.13565,0.16285990713776952
19.3808,0.1595909615381252
19.62908,0.15665136811640407
19.88055,0.15403064582283932
20.13524,0.15157449570427153
20.3932,0.1493032341367711
20.65445,0.14709584116752228
20.91906,0.14496022917296397
21.18705,0.1434134288360018
21.45848,0.14215754525604637
21.73339,0.14093495102444634
22.01181,0.13975147934490073
22.29381,0.13869127145835164
22.57941,0.13765528737708965
22.86868,0.13663678258321232
23.16165,0.1355915327639642
23.45837,0.13451500326798527
23.7589,0.1334570111779878
24.06328,0.13223502480136262
24.37155,0.1307007873073343
24.68378,0.12913847047130966
25.0,0.12761109190170364
30.73734,0.10247160277179147
37.79135,0.0798749008263668
46.46422,0.05892905506328898
57.12745,0.03728481394795086
70.23782,0.020962148368448848
86.35694,0.010908373845543816
106.1753,0.005215013068147327
130.5418,0.002337565785329572
160.5003,0.000995140525412887
197.3341,0.0004070238913587225
242.6209,0.0001611894750876497
298.3008,6.232966590870351e-05
366.7589,2.3667160316773212e-05
450.9277,8.862024128040677e-06
554.4126,3.2829229610139275e-06
681.6467,1.2061869248465558e-06
838.0801,4.4038783872251305e-07
1030.414,1.6002996279383187e-07
1266.887,5.7954484744599955e-08
1557.629,2.0941784142206635e-08
1915.095,7.559574850679035e-09
2354.597,2.7296557388874407e-09
2894.961,9.874831044610514e-10
3559.336,3.58624469885946e-10
4376.18,1.3110096701280645e-10
5380.484,4.8415481435956625e-11
6615.27,1.8147000058820038e-11
8133.431,6.943664059674152e-12
10000.0,1.968218985878541e-12
