# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 4.544036e-05
1.236673e-01 4.194104e-02
1.529360e-01 1.670298e-01
1.891319e-01 4.333591e-01
2.338943e-01 7.920172e-01
2.892508e-01 1.116874e+00
3.577086e-01 1.294238e+00
4.423686e-01 1.234250e+00
5.470654e-01 1.022492e+00
6.765410e-01 7.626808e-01
8.366600e-01 5.234224e-01
1.034675e+00 3.583240e-01
1.279555e+00 2.574655e-01
1.582391e+00 1.868935e-01
1.956900e+00 1.300311e-01
2.420045e+00 8.454299e-02
2.992805e+00 6.414380e-02
3.701121e+00 5.449585e-02
4.577077e+00 4.985921e-02
5.660348e+00 4.864249e-02
7.000000e+00 4.697995e-02
7.089677e+00 4.709262e-02
7.180503e+00 4.723586e-02
7.272493e+00 4.737808e-02
7.365661e+00 4.752195e-02
7.460023e+00 4.770434e-02
7.555593e+00 4.820425e-02
7.652388e+00 4.902301e-02
7.750423e+00 4.985180e-02
7.849714e+00 5.069998e-02
7.950277e+00 5.157567e-02
8.052128e+00 5.365129e-02
8.155284e+00 5.687069e-02
8.259761e+00 6.280678e-02
8.365577e+00 7.265156e-02
8.472749e+00 8.412606e-02
8.581293e+00 9.711009e-02
8.691229e+00 1.113136e-01
8.802572e+00 1.272032e-01
8.915342e+00 1.460807e-01
9.029557e+00 1.667100e-01
9.145235e+00 1.879997e-01
9.262394e+00 2.079021e-01
9.381055e+00 2.264089e-01
9.501236e+00 2.397921e-01
9.622957e+00 2.499707e-01
9.746237e+00 2.544154e-01
9.871096e+00 2.548040e-01
9.997555e+00 2.505954e-01
1.012563e+01 2.437758e-01
1.025535e+01 2.355019e-01
1.038673e+01 2.268510e-01
1.051980e+01 2.169914e-01
1.065457e+01 2.064047e-01
1.079107e+01 1.950579e-01
1.092931e+01 1.844617e-01
1.106933e+01 1.745076e-01
1.121113e+01 1.648753e-01
1.135476e+01 1.553211e-01
1.150023e+01 1.452347e-01
1.164756e+01 1.352198e-01
1.179677e+01 1.257858e-01
1.194790e+01 1.168191e-01
1.210097e+01 1.094163e-01
1.225599e+01 1.030368e-01
1.241300e+01 9.726353e-02
1.257203e+01 9.353594e-02
1.273309e+01 9.211292e-02
1.289621e+01 9.068925e-02
1.306143e+01 9.118206e-02
1.322876e+01 9.382407e-02
1.339823e+01 9.690030e-02
1.356988e+01 1.002716e-01
1.374372e+01 1.040565e-01
1.391979e+01 1.079984e-01
1.409812e+01 1.117476e-01
1.427873e+01 1.152037e-01
1.446165e+01 1.188544e-01
1.464692e+01 1.230554e-01
1.483456e+01 1.276172e-01
1.502461e+01 1.331235e-01
1.521709e+01 1.423954e-01
1.541204e+01 1.528547e-01
1.560948e+01 1.642174e-01
1.580946e+01 1.765819e-01
1.601199e+01 1.891510e-01
1.621712e+01 2.004336e-01
1.642488e+01 2.114855e-01
1.663530e+01 2.190669e-01
1.684841e+01 2.245707e-01
1.706426e+01 2.285233e-01
1.728287e+01 2.296346e-01
1.750428e+01 2.298750e-01
1.772853e+01 2.280334e-01
1.795565e+01 2.255182e-01
1.818568e+01 2.222612e-01
1.841866e+01 2.186082e-01
1.865462e+01 2.152659e-01
1.889360e+01 2.121388e-01
1.913565e+01 2.090798e-01
1.938080e+01 2.061029e-01
1.962908e+01 2.034789e-01
1.988055e+01 2.011963e-01
2.013524e+01 1.990820e-01
2.039320e+01 1.971584e-01
2.065445e+01 1.952873e-01
2.091906e+01 1.934755e-01
2.118705e+01 1.923173e-01
2.145848e+01 1.914761e-01
2.173339e+01 1.906551e-01
2.201181e+01 1.898593e-01
2.229381e+01 1.891871e-01
2.257941e+01 1.885210e-01
2.286868e+01 1.878516e-01
2.316165e+01 1.871234e-01
2.345837e+01 1.863279e-01
2.375890e+01 1.855230e-01
2.406328e+01 1.844802e-01
2.437155e+01 1.830047e-01
2.468378e+01 1.814421e-01
2.500000e+01 1.798691e-01
3.073734e+01 1.455506e-01
3.779135e+01 1.074367e-01
4.646422e+01 7.462395e-02
5.712745e+01 4.457938e-02
7.023782e+01 2.392968e-02
8.635694e+01 1.203076e-02
1.061753e+02 5.599388e-03
1.305418e+02 2.458966e-03
1.605003e+02 1.030866e-03
1.973341e+02 4.169471e-04
2.426209e+02 1.638166e-04
2.983008e+02 6.300113e-05
3.667589e+02 2.383424e-05
4.509277e+02 8.902728e-06
5.544126e+02 3.292650e-06
6.816467e+02 1.208468e-06
8.380801e+02 4.409109e-07
1.030414e+03 1.601463e-07
1.266887e+03 5.797909e-08
1.557629e+03 2.094653e-08
1.915095e+03 7.560310e-09
2.354597e+03 2.729691e-09
2.894961e+03 9.874420e-10
3.559336e+03 3.585971e-10
4.376180e+03 1.310882e-10
5.380484e+03 4.841025e-11
6.615270e+03 1.814497e-11
8.133431e+03 6.942903e-12
1.000000e+04 1.967939e-12
