lambda_micron,nuFnu
0.1,0.0001095193019716901
0.1236673,0.042627903196750624
0.152936,0.17200332566461188
0.1891319,0.45405519541713063
0.2338943,0.8360600066312096
0.2892508,1.1667113876084818
0.3577086,1.3318413045794926
0.4423686,1.2630616926620943
0.5470654,1.049349654264341
0.676541,0.7908028167421896
0.83666,0.5585917434821956
1.034675,0.41734146634444047
1.279555,0.34323781307691964
1.582391,0.2700305865209578
1.9569,0.18970676066806627
2.420045,0.11641995269194137
2.992805,0.08437765732923055
3.701121,0.06563880996835025
4.577077,0.05344909531536292
5.660348,0.04779368588028197
7.0,0.04258963251816306
7.089677,0.042585252659200455
7.180503,0.042619365802915116
7.272493,0.042649337245999654
7.365661,0.04268115366464093
7.460023,0.04275999624600046
7.555593,0.04324085689768989
7.652388,0.0441361224190511
7.750423,0.04504908289310276
7.849714,0.04598436422129349
7.950277,0.04694383464430807
8.052128,0.049463645964492785
8.155284,0.053394532981153445
8.259761,0.06055165044974658
8.365577,0.07201161308967416
8.472749,0.08480444496872662
8.581293,0.09880333752567393
8.691229,0.11371070504335819
8.802572,0.13004288190506771
8.915342,0.14914142263595107
9.029557,0.16967222025848097
9.145235,0.19054485898856463
9.262394,0.20975504991820132
9.381055,0.22737861075614468
9.501236,0.2397785549824867
9.622957,0.2489420221216249
9.746237,0.2524238902341947
9.871096,0.25191926190427805
9.997555,0.24691674937773284
10.12563,0.23937681103167255
10.25535,0.23043602877350042
10.38673,0.22115049945485166
10.5198,0.21069858644384293
10.65457,0.19955103439314606
10.79107,0.18766981075440026
10.92931,0.17654185386039406
11.06933,0.1660625260450295
11.21113,0.15591574005136802
11.35476,0.1458621799781628
11.50023,0.13529786670995614
11.64756,0.12482800762664611
11.79677,0.11496646061338432
11.9479,0.10561251927566126
12.10097,0.09785785441769378
12.25599,0.09116654925227509
12.413,0.08512519547435335
12.57203,0.08113226712232914
12.73309,0.07941326680879665
12.89621,0.07771324314044502
13.06143,0.07787359281019238
13.22876,0.08009543888515742
13.39823,0.08272268818346118
13.56988,0.08562115832492252
13.74372,0.08890338956675368
13.91979,0.0923246315453175
14.09812,0.09555291680684762
14.27873,0.09849417400896994
14.46165,0.1016128931370707
14.64692,0.10524616779430465
14.83456,0.10921422923754508
15.02461,0.11407071580969572
15.21709,0.12249613451400791
15.41204,0.13205062136608717
15.60948,0.14246405881137225
15.80946,0.1538268149812591
16.01199,0.16537314695106486
16.21712,0.1756756029321607
16.42488,0.1857385730942589
16.6353,0.19248023190312866
16.84841,0.1972345946224704
17.06426,0.20050738559902961
17.28287,0.20108011521793523
17.50428,0.20082595362238523
17.72853,0.1986004708468511
17.95565,0.19574037024352026
18.18568,0.19218382272894466
18.41866,0.18826020510054484
18.65462,0.18463854584090175
18.8936,0.1812292867360614
19.13565,0.17789537860318028
19.3808,0.17465155995281323
19.62908,0.171751888491072
19.88055,0.16918515455679448
20.13524,0.1667897947141537
20.3932,0.1645868072141992
20.65445,0.1624491830204533
20.91906,0.16038450742644866
21.18705,0.1589347936308545
21.45848,0.15778847307601662
21.73339,0.1566750161907093
22.01181,0.15560001313585556
22.29381,0.15465184955330574
22.57941,0.15372574235459602
22.86868,0.1528140555598012
23.16165,0.15186923860603257
23.45837,0.15088554644434615
23.7589,0.14991510711715955
24.06328,0.1487620279035916
24.37155,0.14726483316479747
24.68378,0.14572521776131697
25.0,0.14420978960251865
30.73734,0.11682084213751547
37.79135,0.089537163608422
46.46422,0.06465093643999434
57.12745,0.04003440555607641
70.23782,0.022112297486548887
86.35694,0.011354177124183512
106.1753,0.0053714407881278025
130.5418,0.0023881538785046376
160.5003,0.0010103538231368142
197.3341,0.0004113308879775314
242.6209,0.00016234925892659525
298.3008,6.263099492272624e-05
366.7589,2.374348536299434e-05
450.9277,8.881032345707098e-06
554.4126,3.287608238819172e-06
681.6467,1.2073361587338536e-06
838.0801,4.40669861124909e-07
1030.414,1.600996011288182e-07
1266.887,5.797188499312523e-08
1557.629,2.094621478512666e-08
1915.095,7.560733259833995e-09
2354.597,2.729968753685347e-09
2894.961,9.875711119926222e-10
3559.336,3.586502607993081e-10
4376.18,1.311088423197031e-10
5380.484,4.8417977643275177e-11
6615.27,1.8147816444679346e-11
8133.431,6.943937619953432e-12
10000.0,1.9683122977090048e-12
