# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 8.551676e-05
1.236673e-01 4.217584e-02
1.529360e-01 1.678868e-01
1.891319e-01 4.410984e-01
2.338943e-01 8.216808e-01
2.892508e-01 1.155207e+00
3.577086e-01 1.334226e+00
4.423686e-01 1.257715e+00
5.470654e-01 1.053146e+00
6.765410e-01 7.907073e-01
8.366600e-01 5.592066e-01
1.034675e+00 4.141563e-01
1.279555e+00 3.380495e-01
1.582391e+00 2.657590e-01
1.956900e+00 1.871097e-01
2.420045e+00 1.151008e-01
2.992805e+00 8.419999e-02
3.701121e+00 6.649654e-02
4.577077e+00 5.547655e-02
5.660348e+00 5.056778e-02
7.000000e+00 4.590970e-02
7.089677e+00 4.593445e-02
7.180503e+00 4.599806e-02
7.272493e+00 4.605859e-02
7.365661e+00 4.611703e-02
7.460023e+00 4.622470e-02
7.555593e+00 4.673901e-02
7.652388e+00 4.766502e-02
7.750423e+00 4.860581e-02
7.849714e+00 4.956509e-02
7.950277e+00 5.054702e-02
8.052128e+00 5.307793e-02
8.155284e+00 5.700964e-02
8.259761e+00 6.416118e-02
8.365577e+00 7.565197e-02
8.472749e+00 8.857533e-02
8.581293e+00 1.028171e-01
8.691229e+00 1.180568e-01
8.802572e+00 1.347985e-01
8.915342e+00 1.544030e-01
9.029557e+00 1.755064e-01
9.145235e+00 1.969908e-01
9.262394e+00 2.168004e-01
9.381055e+00 2.350079e-01
9.501236e+00 2.478743e-01
9.622957e+00 2.574288e-01
9.746237e+00 2.611514e-01
9.871096e+00 2.607773e-01
9.997555e+00 2.557769e-01
1.012563e+01 2.481643e-01
1.025535e+01 2.391083e-01
1.038673e+01 2.296961e-01
1.051980e+01 2.190830e-01
1.065457e+01 2.077523e-01
1.079107e+01 1.956669e-01
1.092931e+01 1.843529e-01
1.106933e+01 1.737020e-01
1.121113e+01 1.633892e-01
1.135476e+01 1.531658e-01
1.150023e+01 1.424087e-01
1.164756e+01 1.317345e-01
1.179677e+01 1.216674e-01
1.194790e+01 1.120976e-01
1.210097e+01 1.041558e-01
1.225599e+01 9.729235e-02
1.241300e+01 9.108395e-02
1.257203e+01 8.699356e-02
1.273309e+01 8.526558e-02
1.289621e+01 8.355287e-02
1.306143e+01 8.378143e-02
1.322876e+01 8.616749e-02
1.339823e+01 8.898157e-02
1.356988e+01 9.208295e-02
1.374372e+01 9.558879e-02
1.391979e+01 9.924238e-02
1.409812e+01 1.026952e-01
1.427873e+01 1.058487e-01
1.446165e+01 1.091887e-01
1.464692e+01 1.130670e-01
1.483456e+01 1.172948e-01
1.502461e+01 1.224484e-01
1.521709e+01 1.313151e-01
1.541204e+01 1.413415e-01
1.560948e+01 1.522455e-01
1.580946e+01 1.641225e-01
1.601199e+01 1.761840e-01
1.621712e+01 1.869589e-01
1.642488e+01 1.974906e-01
1.663530e+01 2.045914e-01
1.684841e+01 2.096402e-01
1.706426e+01 2.131588e-01
1.728287e+01 2.138838e-01
1.750428e+01 2.137539e-01
1.772853e+01 2.115823e-01
1.795565e+01 2.087533e-01
1.818568e+01 2.052021e-01
1.841866e+01 2.012694e-01
1.865462e+01 1.976482e-01
1.889360e+01 1.942454e-01
1.913565e+01 1.909184e-01
1.938080e+01 1.876816e-01
1.962908e+01 1.847990e-01
1.988055e+01 1.822592e-01
2.013524e+01 1.798938e-01
2.039320e+01 1.777247e-01
2.065445e+01 1.756189e-01
2.091906e+01 1.735839e-01
2.118705e+01 1.721883e-01
2.145848e+01 1.711069e-01
2.173339e+01 1.700557e-01
2.201181e+01 1.690403e-01
2.229381e+01 1.681540e-01
2.257941e+01 1.672858e-01
2.286868e+01 1.664274e-01
2.316165e+01 1.655278e-01
2.345837e+01 1.645802e-01
2.375890e+01 1.636395e-01
2.406328e+01 1.624956e-01
2.437155e+01 1.609730e-01
2.468378e+01 1.593933e-01
2.500000e+01 1.578273e-01
3.073734e+01 1.276542e-01
3.779135e+01 9.638874e-02
4.646422e+01 6.855376e-02
5.712745e+01 4.185308e-02
7.023782e+01 2.285517e-02
8.635694e+01 1.163630e-02
1.061753e+02 5.468364e-03
1.305418e+02 2.418822e-03
1.605003e+02 1.019387e-03
1.973341e+02 4.138423e-04
2.426209e+02 1.630154e-04
2.983008e+02 6.280191e-05
3.667589e+02 2.378631e-05
4.509277e+02 8.891586e-06
5.544126e+02 3.290177e-06
6.816467e+02 1.207956e-06
8.380801e+02 4.408187e-07
1.030414e+03 1.601352e-07
1.266887e+03 5.798040e-08
1.557629e+03 2.094825e-08
1.915095e+03 7.561222e-09
2.354597e+03 2.730087e-09
2.894961e+03 9.875999e-10
3.559336e+03 3.586574e-10
4.376180e+03 1.311106e-10
5.380484e+03 4.841844e-11
6.615270e+03 1.814794e-11
8.133431e+03 6.943973e-12
1.000000e+04 1.968322e-12
