lambda_micron,nuFnu
0.1,4.337992434165968e-05
0.1236673,0.00034664790372513764
0.152936,0.001468627607663487
0.1891319,0.004247783804888931
0.2338943,0.006109301708354798
0.2892508,0.007963571351046165
0.3577086,0.01029788616054425
0.4423686,0.008885593697341983
0.5470654,0.008106323027704677
0.676541,0.005424849038718004
0.83666,0.0033192995436950997
1.034675,0.0018770394176636101
1.279555,0.0009590619940546627
1.582391,0.0007566518840026135
1.9569,0.0005301629347936828
2.420045,0.0003685772280781539
2.992805,0.00029505452767234196
3.701121,0.00036124996544247397
4.577077,0.0005711033885184223
5.660348,0.0008021040542501278
7.0,0.0010887345186301365
7.089677,0.001115791022812157
7.180503,0.0011449050685044578
7.272493,0.0011749982392940629
7.365661,0.0012063545016857491
7.460023,0.0012405377461455717
7.555593,0.0012894831779910283
7.652388,0.0013548236061239935
7.750423,0.0014244695579798316
7.849714,0.001498407316705082
7.950277,0.0015774538759095514
8.052128,0.0017151642773079803
8.155284,0.001904156303730625
8.259761,0.0021951302864031577
8.365577,0.002607412945156043
8.472749,0.00306885153357785
8.581293,0.003593807808153826
8.691229,0.004185807201684824
8.802572,0.004866487958165384
8.915342,0.005680596585063059
9.029557,0.006599960999451015
9.145235,0.007599504926997052
9.262394,0.00862289356760474
9.381055,0.009670686484421208
9.501236,0.010622017061517273
9.622957,0.011524837065388349
9.746237,0.012276815962854579
9.871096,0.01291041869526317
9.997555,0.01337808129688304
10.12563,0.013729374442966572
10.25535,0.013992709780774078
10.38673,0.014204698462670735
10.5198,0.01431368018141599
10.65457,0.014328941486760699
10.79107,0.01423438596253928
10.92931,0.014112478650607734
11.06933,0.013959421554052411
11.21113,0.013753843120475952
11.35476,0.013474492834470412
11.50023,0.013062289638242495
11.64756,0.012556489073085654
11.79677,0.012001376833290257
11.9479,0.011389265300052895
12.10097,0.010851359176009025
12.25599,0.010350592531465
12.413,0.009852016534052833
12.57203,0.009565237123570231
12.73309,0.009565792209889479
12.89621,0.009549970578319878
13.06143,0.00980913269410899
13.22876,0.01040128534229173
13.39823,0.011075706188119455
13.56988,0.011813266636410372
13.74372,0.012634743616792645
13.91979,0.013500591538469093
14.09812,0.014353498322549351
14.27873,0.015174706047793715
14.46165,0.016044622773424676
14.64692,0.017025142099624517
14.83456,0.018085890667094134
15.02461,0.019330481367951964
15.21709,0.02125751370081926
15.41204,0.023415810267954633
15.60948,0.025753135503043062
15.80946,0.02828326560285366
16.01199,0.03086582812215988
16.21712,0.03324569880089279
16.42488,0.03560379883144931
16.6353,0.03738769614855525
16.84841,0.03882876708688136
17.06426,0.04000898408161002
17.28287,0.040691803218947525
17.50428,0.04120838126036828
17.72853,0.04133004143566159
17.95565,0.04129795779655623
18.18568,0.041092064369536274
18.41866,0.04077127055857237
18.65462,0.04047141614257088
18.8936,0.04017753624165375
19.13565,0.03986256907736746
19.3808,0.0395309945860694
19.62908,0.039242234341248704
19.88055,0.038998359441223755
20.13524,0.03876575360903896
20.3932,0.03855198821272426
20.65445,0.03832884632913562
20.91906,0.038099586176919734
21.18705,0.038000967372542216
21.45848,0.037960752638293654
21.73339,0.03791309659319622
22.01181,0.037860340663529
22.29381,0.03782648376422163
22.57941,0.03778555256599949
22.86868,0.037736378644442896
23.16165,0.037667047353576066
23.45837,0.03757660121263511
23.7589,0.0374797067928843
24.06328,0.03732396227510339
24.37155,0.03706521467880114
24.68378,0.03678605978098042
25.0,0.03650603593135003
30.73734,0.031167812945110434
37.79135,0.02696997909903018
46.46422,0.022710482376534336
57.12745,0.016602175741118167
70.23782,0.010689024779578045
86.35694,0.006240571118369411
106.1753,0.0032950901020133124
130.5418,0.001606502955725538
160.5003,0.000734168684431122
197.3341,0.0003187525670512727
242.6209,0.00013274736883626536
298.3008,5.3547058944843656e-05
366.7589,2.1063329461629668e-05
450.9277,8.120160190044748e-06
554.4126,3.079300814707496e-06
681.6467,1.1520596344190118e-06
838.0801,4.263459807197404e-07
1030.414,1.5644274673545142e-07
1266.887,5.704355490106314e-08
1557.629,2.0709657685140878e-08
1915.095,7.499653216997853e-09
2354.597,2.713840084555096e-09
2894.961,9.831787371714696e-10
3559.336,3.574087200306649e-10
4376.18,1.3074339985161735e-10
5380.484,4.830602298600107e-11
6615.27,1.8112254749749885e-11
8133.431,6.932294577705784e-12
10000.0,1.9665384507518003e-12
