# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 6.851981e-04
1.236673e-01 4.363703e-02
1.529360e-01 1.714815e-01
1.891319e-01 4.393963e-01
2.338943e-01 8.007145e-01
2.892508e-01 1.103650e+00
3.577086e-01 1.257763e+00
4.423686e-01 1.199388e+00
5.470654e-01 1.028964e+00
6.765410e-01 7.852248e-01
8.366600e-01 5.601316e-01
1.034675e+00 4.164405e-01
1.279555e+00 3.414263e-01
1.582391e+00 2.682981e-01
1.956900e+00 1.880571e-01
2.420045e+00 1.142693e-01
2.992805e+00 8.159082e-02
3.701121e+00 6.123444e-02
4.577077e+00 4.739748e-02
5.660348e+00 4.021940e-02
7.000000e+00 3.381760e-02
7.089677e+00 3.373835e-02
7.180503e+00 3.369180e-02
7.272493e+00 3.364491e-02
7.365661e+00 3.359574e-02
7.460023e+00 3.359229e-02
7.555593e+00 3.396632e-02
7.652388e+00 3.473181e-02
7.750423e+00 3.551330e-02
7.849714e+00 3.631301e-02
7.950277e+00 3.713308e-02
8.052128e+00 3.943009e-02
8.155284e+00 4.306296e-02
8.259761e+00 4.976912e-02
8.365577e+00 6.059217e-02
8.472749e+00 7.267416e-02
8.581293e+00 8.585900e-02
8.691229e+00 9.983362e-02
8.802572e+00 1.150688e-01
8.915342e+00 1.328126e-01
9.029557e+00 1.517941e-01
9.145235e+00 1.709866e-01
9.262394e+00 1.885338e-01
9.381055e+00 2.045274e-01
9.501236e+00 2.156482e-01
9.622957e+00 2.237630e-01
9.746237e+00 2.266577e-01
9.871096e+00 2.259054e-01
9.997555e+00 2.210468e-01
1.012563e+01 2.138766e-01
1.025535e+01 2.054294e-01
1.038673e+01 1.966715e-01
1.051980e+01 1.868473e-01
1.065457e+01 1.763845e-01
1.079107e+01 1.652435e-01
1.092931e+01 1.547889e-01
1.106933e+01 1.449245e-01
1.121113e+01 1.353610e-01
1.135476e+01 1.258759e-01
1.150023e+01 1.159092e-01
1.164756e+01 1.060188e-01
1.179677e+01 9.668203e-02
1.194790e+01 8.780891e-02
1.210097e+01 8.042329e-02
1.225599e+01 7.403377e-02
1.241300e+01 6.826267e-02
1.257203e+01 6.440633e-02
1.273309e+01 6.266046e-02
1.289621e+01 6.093763e-02
1.306143e+01 6.092795e-02
1.322876e+01 6.280892e-02
1.339823e+01 6.505901e-02
1.356988e+01 6.755466e-02
1.374372e+01 7.039901e-02
1.391979e+01 7.336664e-02
1.409812e+01 7.615159e-02
1.427873e+01 7.866692e-02
1.446165e+01 8.133920e-02
1.464692e+01 8.447701e-02
1.483456e+01 8.791393e-02
1.502461e+01 9.215577e-02
1.521709e+01 9.965104e-02
1.541204e+01 1.081525e-01
1.560948e+01 1.174018e-01
1.580946e+01 1.274689e-01
1.601199e+01 1.376496e-01
1.621712e+01 1.466571e-01
1.642488e+01 1.554028e-01
1.663530e+01 1.611383e-01
1.684841e+01 1.650774e-01
1.706426e+01 1.676815e-01
1.728287e+01 1.678759e-01
1.750428e+01 1.673309e-01
1.772853e+01 1.650332e-01
1.795565e+01 1.621699e-01
1.818568e+01 1.586862e-01
1.841866e+01 1.548736e-01
1.865462e+01 1.513259e-01
1.889360e+01 1.479637e-01
1.913565e+01 1.446658e-01
1.938080e+01 1.414453e-01
1.962908e+01 1.385284e-01
1.988055e+01 1.359057e-01
2.013524e+01 1.334340e-01
2.039320e+01 1.311326e-01
2.065445e+01 1.288893e-01
2.091906e+01 1.267116e-01
2.118705e+01 1.250797e-01
2.145848e+01 1.237171e-01
2.173339e+01 1.223849e-01
2.201181e+01 1.210889e-01
2.229381e+01 1.199075e-01
2.257941e+01 1.187490e-01
2.286868e+01 1.176077e-01
2.316165e+01 1.164432e-01
2.345837e+01 1.152520e-01
2.375890e+01 1.140808e-01
2.406328e+01 1.127624e-01
2.437155e+01 1.111624e-01
2.468378e+01 1.095438e-01
2.500000e+01 1.079654e-01
3.073734e+01 8.415734e-02
3.779135e+01 6.637935e-02
4.646422e+01 5.039082e-02
5.712745e+01 3.294917e-02
7.023782e+01 1.906885e-02
8.635694e+01 1.014900e-02
1.061753e+02 4.939899e-03
1.305418e+02 2.245688e-03
1.605003e+02 9.666298e-04
1.973341e+02 3.987250e-04
2.426209e+02 1.589047e-04
2.983008e+02 6.172654e-05
3.667589e+02 2.351284e-05
4.509277e+02 8.823412e-06
5.544126e+02 3.273409e-06
6.816467e+02 1.203866e-06
8.380801e+02 4.398247e-07
1.030414e+03 1.598935e-07
1.266887e+03 5.792132e-08
1.557629e+03 2.093367e-08
1.915095e+03 7.557563e-09
2.354597e+03 2.729148e-09
2.894961e+03 9.873515e-10
3.559336e+03 3.585892e-10
4.376180e+03 1.310911e-10
5.380484e+03 4.841263e-11
6.615270e+03 1.814614e-11
8.133431e+03 6.943392e-12
1.000000e+04 1.968131e-12
