# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 3.547093e-04
1.236673e-01 4.441877e-02
1.529360e-01 1.784257e-01
1.891319e-01 4.660686e-01
2.338943e-01 8.525110e-01
2.892508e-01 1.179951e+00
3.577086e-01 1.344879e+00
4.423686e-01 1.260736e+00
5.470654e-01 1.057589e+00
6.765410e-01 7.969460e-01
8.366600e-01 5.645439e-01
1.034675e+00 4.193572e-01
1.279555e+00 3.446932e-01
1.582391e+00 2.709675e-01
1.956900e+00 1.901326e-01
2.420045e+00 1.160633e-01
2.992805e+00 8.380340e-02
3.701121e+00 6.410531e-02
4.577077e+00 5.100397e-02
5.660348e+00 4.453680e-02
7.000000e+00 3.869422e-02
7.089677e+00 3.865617e-02
7.180503e+00 3.865167e-02
7.272493e+00 3.864624e-02
7.365661e+00 3.863816e-02
7.460023e+00 3.867800e-02
7.555593e+00 3.911334e-02
7.652388e+00 3.995710e-02
7.750423e+00 4.081862e-02
7.849714e+00 4.170111e-02
7.950277e+00 4.260627e-02
8.052128e+00 4.505288e-02
8.155284e+00 4.889179e-02
8.259761e+00 5.590616e-02
8.365577e+00 6.712967e-02
8.472749e+00 7.963405e-02
8.581293e+00 9.332168e-02
8.691229e+00 1.079101e-01
8.802572e+00 1.238997e-01
8.915342e+00 1.426011e-01
9.029557e+00 1.626934e-01
9.145235e+00 1.830989e-01
9.262394e+00 2.018454e-01
9.381055e+00 2.190096e-01
9.501236e+00 2.310323e-01
9.622957e+00 2.398732e-01
9.746237e+00 2.431472e-01
9.871096e+00 2.425222e-01
9.997555e+00 2.375010e-01
1.012563e+01 2.300036e-01
1.025535e+01 2.211401e-01
1.038673e+01 2.119447e-01
1.051980e+01 2.016130e-01
1.065457e+01 1.906043e-01
1.079107e+01 1.788799e-01
1.092931e+01 1.678941e-01
1.106933e+01 1.575443e-01
1.121113e+01 1.475208e-01
1.135476e+01 1.375886e-01
1.150023e+01 1.271554e-01
1.164756e+01 1.168140e-01
1.179677e+01 1.070684e-01
1.194790e+01 9.782089e-02
1.210097e+01 9.014462e-02
1.225599e+01 8.351622e-02
1.241300e+01 7.753339e-02
1.257203e+01 7.355942e-02
1.273309e+01 7.180560e-02
1.289621e+01 7.007313e-02
1.306143e+01 7.015054e-02
1.322876e+01 7.223016e-02
1.339823e+01 7.470307e-02
1.356988e+01 7.743938e-02
1.374372e+01 8.054824e-02
1.391979e+01 8.379199e-02
1.409812e+01 8.684661e-02
1.427873e+01 8.962012e-02
1.446165e+01 9.256448e-02
1.464692e+01 9.600815e-02
1.483456e+01 9.977554e-02
1.502461e+01 1.044059e-01
1.521709e+01 1.125111e-01
1.541204e+01 1.217114e-01
1.560948e+01 1.317401e-01
1.580946e+01 1.426807e-01
1.601199e+01 1.537839e-01
1.621712e+01 1.636615e-01
1.642488e+01 1.732905e-01
1.663530e+01 1.796859e-01
1.684841e+01 1.841476e-01
1.706426e+01 1.871689e-01
1.728287e+01 1.875739e-01
1.750428e+01 1.871764e-01
1.772853e+01 1.848705e-01
1.795565e+01 1.819489e-01
1.818568e+01 1.783518e-01
1.841866e+01 1.743974e-01
1.865462e+01 1.707327e-01
1.889360e+01 1.672715e-01
1.913565e+01 1.638814e-01
1.938080e+01 1.605770e-01
1.962908e+01 1.576046e-01
1.988055e+01 1.549533e-01
2.013524e+01 1.524674e-01
2.039320e+01 1.501676e-01
2.065445e+01 1.479317e-01
2.091906e+01 1.457675e-01
2.118705e+01 1.441976e-01
2.145848e+01 1.429210e-01
2.173339e+01 1.416777e-01
2.201181e+01 1.404733e-01
2.229381e+01 1.393932e-01
2.257941e+01 1.383371e-01
2.286868e+01 1.372982e-01
2.316165e+01 1.362320e-01
2.345837e+01 1.351339e-01
2.375890e+01 1.340541e-01
2.406328e+01 1.328081e-01
2.437155e+01 1.312460e-01
2.468378e+01 1.296553e-01
2.500000e+01 1.280995e-01
3.073734e+01 1.025363e-01
3.779135e+01 7.979641e-02
4.646422e+01 5.886009e-02
5.712745e+01 3.724674e-02
7.023782e+01 2.094636e-02
8.635694e+01 1.090279e-02
1.061753e+02 5.213286e-03
1.305418e+02 2.337080e-03
1.605003e+02 9.950124e-04
1.973341e+02 4.069915e-04
2.426209e+02 1.611815e-04
2.983008e+02 6.232776e-05
3.667589e+02 2.366670e-05
4.509277e+02 8.861916e-06
5.544126e+02 3.282897e-06
6.816467e+02 1.206181e-06
8.380801e+02 4.403864e-07
1.030414e+03 1.600296e-07
1.266887e+03 5.795441e-08
1.557629e+03 2.094177e-08
1.915095e+03 7.559571e-09
2.354597e+03 2.729655e-09
2.894961e+03 9.874829e-10
3.559336e+03 3.586244e-10
4.376180e+03 1.311010e-10
5.380484e+03 4.841548e-11
6.615270e+03 1.814700e-11
8.133431e+03 6.943664e-12
1.000000e+04 1.968219e-12
