lambda_micron,nuFnu
0.1,4.5440362899837587e-05
0.1236673,0.041941040826593896
0.152936,0.16702980876790008
0.1891319,0.4333590848517678
0.2338943,0.7920171722130922
0.2892508,1.1168739652883708
0.3577086,1.294238169525037
0.4423686,1.2342497305122921
0.5470654,1.0224922527280869
0.676541,0.76268079663042
0.83666,0.5234223973232833
1.034675,0.35832401595837404
1.279555,0.2574655034622813
1.582391,0.18689345769810733
1.9569,0.13003111209126642
2.420045,0.08454298524509049
2.992805,0.06414380180193938
3.701121,0.05449585368007757
4.577077,0.04985921018337103
5.660348,0.04864248635048403
7.0,0.04697994967753854
7.089677,0.047092622925699074
7.180503,0.047235857053395676
7.272493,0.047378082716471266
7.365661,0.047521950101389474
7.460023,0.047704344875093466
7.555593,0.04820424852217835
7.652388,0.04902301229918897
7.750423,0.0498517950411265
7.849714,0.050699984963048145
7.950277,0.05157567056637357
8.052128,0.05365129471711196
8.155284,0.05687069078132786
8.259761,0.06280677891047115
8.365577,0.07265156413724635
8.472749,0.08412605913609003
8.581293,0.0971100872396425
8.691229,0.11131364544097076
8.802572,0.1272032191720272
8.915342,0.146080715495846
9.029557,0.1667099891238983
9.145235,0.1879997231944598
9.262394,0.20790214925956482
9.381055,0.2264089479793257
9.501236,0.2397921421568318
9.622957,0.24997066437636345
9.746237,0.2544154237668212
9.871096,0.25480403939010227
9.997555,0.25059539915747675
10.12563,0.24377576305908802
10.25535,0.23550189536396804
10.38673,0.22685098963096081
10.5198,0.21699142317182496
10.65457,0.2064047468377032
10.79107,0.19505792145127962
10.92931,0.18446171484956275
11.06933,0.17450757819088916
11.21113,0.16487529524941905
11.35476,0.15532108124053046
11.50023,0.14523465479278505
11.64756,0.13521980569522704
11.79677,0.12578579054382583
11.9479,0.11681906214668122
12.10097,0.1094162778936309
12.25599,0.10303681866441983
12.413,0.09726353120895745
12.57203,0.09353593830747015
12.73309,0.09211292370199846
12.89621,0.0906892517019708
13.06143,0.09118206091518534
13.22876,0.09382407359796323
13.39823,0.09690029623968685
13.56988,0.10027161710874344
13.74372,0.1040564593068281
13.91979,0.10799843797060912
14.09812,0.11174763036869885
14.27873,0.11520372260432031
14.46165,0.11885442472662915
14.64692,0.12305540767155625
14.83456,0.12761724764120394
15.02461,0.13312354969642157
15.21709,0.14239537812508088
15.41204,0.1528546601354087
15.60948,0.16421740897053733
15.80946,0.1765818789768991
16.01199,0.18915097125674568
16.21712,0.200433586331913
16.42488,0.21148549701546654
16.6353,0.21906689829618733
16.84841,0.22457071521822575
17.06426,0.228523293217894
17.28287,0.2296345554314011
17.50428,0.22987500290970125
17.72853,0.22803340835390074
17.95565,0.22551815308026585
18.18568,0.22226118594647812
18.41866,0.2186082215037809
18.65462,0.21526593445363487
18.8936,0.21213880556769113
19.13565,0.20907983796020402
19.3808,0.20610294925762096
19.62908,0.20347888727380248
19.88055,0.2011963330813205
20.13524,0.19908199786499536
20.3932,0.19715842179387216
20.65445,0.19528730078198847
20.91906,0.19347551420948597
21.18705,0.19231730643975228
21.45848,0.19147613349709464
21.73339,0.1906550626600525
22.01181,0.18985933069388558
22.29381,0.18918708407143228
22.57941,0.18852102993930717
22.86868,0.1878515766989609
23.16165,0.18712340116936274
23.45837,0.18632790229197163
23.7589,0.18552300903432856
24.06328,0.18448018084717618
24.37155,0.1830046812710309
24.68378,0.1814420541576579
25.0,0.17986906837763392
30.73734,0.1455506146157811
37.79135,0.10743674447020078
46.46422,0.07462394634003547
57.12745,0.044579384430575936
70.23782,0.02392967887178134
86.35694,0.012030762157457726
106.1753,0.005599388493658551
130.5418,0.0024589664054975925
160.5003,0.0010308657052916438
197.3341,0.0004169471109722647
242.6209,0.00016381656381626606
298.3008,6.300113015086125e-05
366.7589,2.3834242013577868e-05
450.9277,8.902728349036123e-06
554.4126,3.2926501971098546e-06
681.6467,1.208467855223693e-06
838.0801,4.4091085034881993e-07
1030.414,1.6014625474455314e-07
1266.887,5.797908980849064e-08
1557.629,2.094653323537214e-08
1915.095,7.560310090953184e-09
2354.597,2.729690921941584e-09
2894.961,9.874420098425955e-10
3559.336,3.585971413439182e-10
4376.18,1.3108824935053066e-10
5380.484,4.84102475054904e-11
6615.27,1.814497191909823e-11
8133.431,6.942902757723013e-12
10000.0,1.967938921461103e-12
