# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 8.844486e-05
1.236673e-01 5.901113e-04
1.529360e-01 2.232982e-03
1.891319e-01 5.542774e-03
2.338943e-01 8.089101e-03
2.892508e-01 1.090228e-02
3.577086e-01 1.479476e-02
4.423686e-01 1.428864e-02
5.470654e-01 1.523731e-02
6.765410e-01 1.304041e-02
8.366600e-01 8.079372e-03
1.034675e+00 1.162797e-02
1.279555e+00 2.832831e-02
1.582391e+00 6.901184e-02
1.956900e+00 9.738835e-02
2.420045e+00 8.524658e-02
2.992805e+00 6.694831e-02
3.701121e+00 5.192144e-02
4.577077e+00 4.001450e-02
5.660348e+00 3.299924e-02
7.000000e+00 2.665023e-02
7.089677e+00 2.651762e-02
7.180503e+00 2.641297e-02
7.272493e+00 2.630499e-02
7.365661e+00 2.619687e-02
7.460023e+00 2.612225e-02
7.555593e+00 2.634425e-02
7.652388e+00 2.685911e-02
7.750423e+00 2.737044e-02
7.849714e+00 2.787840e-02
7.950277e+00 2.838439e-02
8.052128e+00 2.989034e-02
8.155284e+00 3.214728e-02
8.259761e+00 3.588836e-02
8.365577e+00 4.076178e-02
8.472749e+00 4.465675e-02
8.581293e+00 4.741172e-02
8.691229e+00 4.908692e-02
8.802572e+00 5.000107e-02
8.915342e+00 5.048037e-02
9.029557e+00 5.082735e-02
9.145235e+00 5.139121e-02
9.262394e+00 5.232454e-02
9.381055e+00 5.363112e-02
9.501236e+00 5.503795e-02
9.622957e+00 5.648163e-02
9.746237e+00 5.767259e-02
9.871096e+00 5.861195e-02
9.997555e+00 5.917760e-02
1.012563e+01 5.947565e-02
1.025535e+01 5.957545e-02
1.038673e+01 5.955846e-02
1.051980e+01 5.932782e-02
1.065457e+01 5.890771e-02
1.079107e+01 5.826857e-02
1.092931e+01 5.755897e-02
1.106933e+01 5.676059e-02
1.121113e+01 5.582235e-02
1.135476e+01 5.469012e-02
1.150023e+01 5.322549e-02
1.164756e+01 5.147703e-02
1.179677e+01 4.951858e-02
1.194790e+01 4.732294e-02
1.210097e+01 4.521993e-02
1.225599e+01 4.315822e-02
1.241300e+01 4.107296e-02
1.257203e+01 3.956295e-02
1.273309e+01 3.886301e-02
1.289621e+01 3.814186e-02
1.306143e+01 3.817888e-02
1.322876e+01 3.908141e-02
1.339823e+01 4.015341e-02
1.356988e+01 4.133681e-02
1.374372e+01 4.267460e-02
1.391979e+01 4.406804e-02
1.409812e+01 4.539018e-02
1.427873e+01 4.660972e-02
1.446165e+01 4.790831e-02
1.464692e+01 4.941470e-02
1.483456e+01 5.105930e-02
1.502461e+01 5.304928e-02
1.521709e+01 5.636325e-02
1.541204e+01 6.006579e-02
1.560948e+01 6.406057e-02
1.580946e+01 6.838733e-02
1.601199e+01 7.279395e-02
1.621712e+01 7.680898e-02
1.642488e+01 8.078664e-02
1.663530e+01 8.367039e-02
1.684841e+01 8.590047e-02
1.706426e+01 8.763371e-02
1.728287e+01 8.841713e-02
1.750428e+01 8.888934e-02
1.772853e+01 8.861694e-02
1.795565e+01 8.806514e-02
1.818568e+01 8.719869e-02
1.841866e+01 8.613151e-02
1.865462e+01 8.511981e-02
1.889360e+01 8.413406e-02
1.913565e+01 8.312290e-02
1.938080e+01 8.209420e-02
1.962908e+01 8.115740e-02
1.988055e+01 8.031508e-02
2.013524e+01 7.950413e-02
2.039320e+01 7.873772e-02
2.065445e+01 7.796342e-02
2.091906e+01 7.718680e-02
2.118705e+01 7.665781e-02
2.145848e+01 7.624287e-02
2.173339e+01 7.582108e-02
2.201181e+01 7.539642e-02
2.229381e+01 7.501224e-02
2.257941e+01 7.462094e-02
2.286868e+01 7.422015e-02
2.316165e+01 7.378806e-02
2.345837e+01 7.332278e-02
2.375890e+01 7.285076e-02
2.406328e+01 7.227713e-02
2.437155e+01 7.152241e-02
2.468378e+01 7.073592e-02
2.500000e+01 6.995277e-02
3.073734e+01 5.642435e-02
3.779135e+01 4.589734e-02
4.646422e+01 3.641061e-02
5.712745e+01 2.515078e-02
7.023782e+01 1.535586e-02
8.635694e+01 8.549467e-03
1.061753e+02 4.322782e-03
1.305418e+02 2.027156e-03
1.605003e+02 8.947904e-04
1.973341e+02 3.766220e-04
2.426209e+02 1.525113e-04
2.983008e+02 5.996980e-05
3.667589e+02 2.304976e-05
4.509277e+02 8.705182e-06
5.544126e+02 3.243932e-06
6.816467e+02 1.196643e-06
8.380801e+02 4.380769e-07
1.030414e+03 1.594745e-07
1.266887e+03 5.782157e-08
1.557629e+03 2.091006e-08
1.915095e+03 7.552004e-09
2.354597e+03 2.727846e-09
2.894961e+03 9.870486e-10
3.559336e+03 3.585194e-10
4.376180e+03 1.310753e-10
5.380484e+03 4.840909e-11
6.615270e+03 1.814537e-11
8.133431e+03 6.943238e-12
1.000000e+04 1.968105e-12
