# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 6.857573e-04
1.236673e-01 4.379836e-02
1.529360e-01 1.718380e-01
1.891319e-01 4.414003e-01
2.338943e-01 7.985480e-01
2.892508e-01 1.100724e+00
3.577086e-01 1.250728e+00
4.423686e-01 1.200300e+00
5.470654e-01 1.023134e+00
6.765410e-01 7.818158e-01
8.366600e-01 5.560695e-01
1.034675e+00 4.162149e-01
1.279555e+00 3.419773e-01
1.582391e+00 2.685781e-01
1.956900e+00 1.877807e-01
2.420045e+00 1.143930e-01
2.992805e+00 8.148795e-02
3.701121e+00 6.117559e-02
4.577077e+00 4.728371e-02
5.660348e+00 4.011307e-02
7.000000e+00 3.372616e-02
7.089677e+00 3.364804e-02
7.180503e+00 3.360660e-02
7.272493e+00 3.356133e-02
7.365661e+00 3.351600e-02
7.460023e+00 3.351621e-02
7.555593e+00 3.389695e-02
7.652388e+00 3.467003e-02
7.750423e+00 3.546036e-02
7.849714e+00 3.626906e-02
7.950277e+00 3.709867e-02
8.052128e+00 3.940980e-02
8.155284e+00 4.305700e-02
8.259761e+00 4.975992e-02
8.365577e+00 6.051855e-02
8.472749e+00 7.249051e-02
8.581293e+00 8.554848e-02
8.691229e+00 9.939409e-02
8.802572e+00 1.144939e-01
8.915342e+00 1.320817e-01
9.029557e+00 1.508945e-01
9.145235e+00 1.699131e-01
9.262394e+00 1.872982e-01
9.381055e+00 2.031424e-01
9.501236e+00 2.141591e-01
9.622957e+00 2.221974e-01
9.746237e+00 2.250640e-01
9.871096e+00 2.243168e-01
9.997555e+00 2.195017e-01
1.012563e+01 2.123951e-01
1.025535e+01 2.040237e-01
1.038673e+01 1.953423e-01
1.051980e+01 1.856032e-01
1.065457e+01 1.752296e-01
1.079107e+01 1.641841e-01
1.092931e+01 1.538169e-01
1.106933e+01 1.440335e-01
1.121113e+01 1.345477e-01
1.135476e+01 1.251390e-01
1.150023e+01 1.152526e-01
1.164756e+01 1.054414e-01
1.179677e+01 9.618063e-02
1.194790e+01 8.738320e-02
1.210097e+01 8.006358e-02
1.225599e+01 7.373579e-02
1.241300e+01 6.802519e-02
1.257203e+01 6.421195e-02
1.273309e+01 6.248614e-02
1.289621e+01 6.078397e-02
1.306143e+01 6.077337e-02
1.322876e+01 6.262908e-02
1.339823e+01 6.484990e-02
1.356988e+01 6.731418e-02
1.374372e+01 7.012424e-02
1.391979e+01 7.305745e-02
1.409812e+01 7.581118e-02
1.427873e+01 7.829904e-02
1.446165e+01 8.094286e-02
1.464692e+01 8.404820e-02
1.483456e+01 8.745054e-02
1.502461e+01 9.165090e-02
1.521709e+01 9.907573e-02
1.541204e+01 1.074993e-01
1.560948e+01 1.166650e-01
1.580946e+01 1.266419e-01
1.601199e+01 1.367316e-01
1.621712e+01 1.456586e-01
1.642488e+01 1.543265e-01
1.663530e+01 1.600109e-01
1.684841e+01 1.639146e-01
1.706426e+01 1.664951e-01
1.728287e+01 1.666870e-01
1.750428e+01 1.661461e-01
1.772853e+01 1.638678e-01
1.795565e+01 1.610293e-01
1.818568e+01 1.575758e-01
1.841866e+01 1.537970e-01
1.865462e+01 1.502812e-01
1.889360e+01 1.469498e-01
1.913565e+01 1.436824e-01
1.938080e+01 1.404922e-01
1.962908e+01 1.376034e-01
1.988055e+01 1.350065e-01
2.013524e+01 1.325599e-01
2.039320e+01 1.302824e-01
2.065445e+01 1.280629e-01
2.091906e+01 1.259088e-01
2.118705e+01 1.242959e-01
2.145848e+01 1.229501e-01
2.173339e+01 1.216349e-01
2.201181e+01 1.203559e-01
2.229381e+01 1.191906e-01
2.257941e+01 1.180483e-01
2.286868e+01 1.169234e-01
2.316165e+01 1.157758e-01
2.345837e+01 1.146021e-01
2.375890e+01 1.134485e-01
2.406328e+01 1.121494e-01
2.437155e+01 1.105718e-01
2.468378e+01 1.089761e-01
2.500000e+01 1.074206e-01
3.073734e+01 8.397422e-02
3.779135e+01 6.637491e-02
4.646422e+01 5.042196e-02
5.712745e+01 3.297608e-02
7.023782e+01 1.908296e-02
8.635694e+01 1.015481e-02
1.061753e+02 4.941911e-03
1.305418e+02 2.246303e-03
1.605003e+02 9.668012e-04
1.973341e+02 3.987700e-04
2.426209e+02 1.589160e-04
2.983008e+02 6.172931e-05
3.667589e+02 2.351351e-05
4.509277e+02 8.823572e-06
5.544126e+02 3.273447e-06
6.816467e+02 1.203875e-06
8.380801e+02 4.398268e-07
1.030414e+03 1.598940e-07
1.266887e+03 5.792144e-08
1.557629e+03 2.093369e-08
1.915095e+03 7.557570e-09
2.354597e+03 2.729149e-09
2.894961e+03 9.873518e-10
3.559336e+03 3.585893e-10
4.376180e+03 1.310912e-10
5.380484e+03 4.841263e-11
6.615270e+03 1.814614e-11
8.133431e+03 6.943392e-12
1.000000e+04 1.968131e-12
