lambda_micron,nuFnu
0.1,0.0006851981261386258
0.1236673,0.04363702874602865
0.152936,0.17148149550349642
0.1891319,0.4393962725077841
0.2338943,0.8007144923526301
0.2892508,1.1036503779878617
0.3577086,1.2577628376521521
0.4423686,1.199388251907078
0.5470654,1.0289637047178082
0.676541,0.7852247564038566
0.83666,0.5601316456210299
1.034675,0.41644048056228106
1.279555,0.34142628139836845
1.582391,0.26829808454001314
1.9569,0.188057083566901
2.420045,0.11426927202334762
2.992805,0.08159081539961616
3.701121,0.06123444098377034
4.577077,0.04739748376988513
5.660348,0.04021939528365991
7.0,0.033817596403577815
7.089677,0.03373835119619984
7.180503,0.03369179957490369
7.272493,0.033644906422176164
7.365661,0.03359574063469547
7.460023,0.03359229246630298
7.555593,0.03396631851783705
7.652388,0.03473181051121752
7.750423,0.03551330207999435
7.849714,0.03631300989494774
7.950277,0.037133082956892514
8.052128,0.039430091469586016
8.155284,0.043062960941586945
8.259761,0.049769119363477894
8.365577,0.06059217356111103
8.472749,0.07267416345917402
8.581293,0.08585900220928751
8.691229,0.0998336210589472
8.802572,0.11506881013602803
8.915342,0.132812567342865
9.029557,0.15179406696664585
9.145235,0.17098658435735004
9.262394,0.18853384255687106
9.381055,0.20452736600807808
9.501236,0.21564822830430397
9.622957,0.22376295806470278
9.746237,0.22665767368717676
9.871096,0.22590537246639047
9.997555,0.22104676343429427
10.12563,0.21387659945684612
10.25535,0.20542938932117938
10.38673,0.19667145907299435
10.5198,0.18684734479716386
10.65457,0.17638454471217113
10.79107,0.16524347314971186
10.92931,0.1547888908173628
11.06933,0.14492449367169424
11.21113,0.13536097951272527
11.35476,0.1258759338333209
11.50023,0.11590924993231942
11.64756,0.10601880237444337
11.79677,0.09668203156999347
11.9479,0.08780890716554322
12.10097,0.08042329048612608
12.25599,0.07403377242202304
12.413,0.06826266877417389
12.57203,0.06440632843691763
12.73309,0.06266046160448699
12.89621,0.06093762665692704
13.06143,0.06092795181718974
13.22876,0.06280892057188374
13.39823,0.0650590133985768
13.56988,0.06755465805743564
13.74372,0.0703990079980105
13.91979,0.07336663558232207
14.09812,0.0761515851406205
14.27873,0.07866692490087167
14.46165,0.08133920188403193
14.64692,0.08447701371971754
14.83456,0.08791392659634482
15.02461,0.09215577326931634
15.21709,0.09965103974817209
15.41204,0.10815251634805295
15.60948,0.11740183356740409
15.80946,0.12746890184314302
16.01199,0.1376496227105101
16.21712,0.1466570879461291
16.42488,0.1554027755810988
16.6353,0.16113831274253163
16.84841,0.16507743302316402
17.06426,0.16768150001432505
17.28287,0.16787588835205838
17.50428,0.1673308840083956
17.72853,0.1650331601321733
17.95565,0.16216993518739192
18.18568,0.15868615481889228
18.41866,0.1548736372969206
18.65462,0.15132589033921032
18.8936,0.14796374442804125
19.13565,0.14466579529510493
19.3808,0.14144528516423854
19.62908,0.1385284461262869
19.88055,0.1359057200228352
20.13524,0.13343403616253788
20.3932,0.13113260674234012
20.65445,0.1288892874032824
20.91906,0.12671157325965968
21.18705,0.1250796975606874
21.45848,0.12371708146970734
21.73339,0.12238492164421057
22.01181,0.12108894813679963
22.29381,0.11990747813443128
22.57941,0.11874898265215061
22.86868,0.11760766310602921
23.16165,0.11644318384463505
23.45837,0.11525204234534964
23.7589,0.11408081213957223
24.06328,0.1127623596863461
24.37155,0.11116242310701835
24.68378,0.10954382949918604
25.0,0.10796543828323736
30.73734,0.08415734194214078
37.79135,0.06637935025969781
46.46422,0.05039082138845448
57.12745,0.03294917151676773
70.23782,0.019068852296172334
86.35694,0.010148997363221036
106.1753,0.00493989896508405
130.5418,0.002245688271199784
160.5003,0.0009666297858673058
197.3341,0.0003987250329326422
242.6209,0.00015890470912729703
298.3008,6.172653961529029e-05
366.7589,2.351284033079912e-05
450.9277,8.823412437961056e-06
554.4126,3.2734090522794803e-06
681.6467,1.2038660360719614e-06
838.0801,4.3982465753581275e-07
1030.414,1.5989349494231016e-07
1266.887,5.792132408697686e-08
1557.629,2.0933667402133468e-08
1915.095,7.557563121613723e-09
2354.597,2.7291476915529618e-09
2894.961,9.873514606409858e-10
3559.336,3.5858920972723874e-10
4376.18,1.310911492541337e-10
5380.484,4.841262975378745e-11
6615.27,1.8146136390205648e-11
8133.431,6.943392153068301e-12
10000.0,1.968130569981193e-12
