# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 6.332797e-05
1.236673e-01 4.220548e-02
1.529360e-01 1.673692e-01
1.891319e-01 4.350184e-01
2.338943e-01 8.065694e-01
2.892508e-01 1.138985e+00
3.577086e-01 1.314558e+00
4.423686e-01 1.251465e+00
5.470654e-01 1.039476e+00
6.765410e-01 7.815842e-01
8.366600e-01 5.506377e-01
1.034675e+00 4.084481e-01
1.279555e+00 3.320812e-01
1.582391e+00 2.596414e-01
1.956900e+00 1.822581e-01
2.420045e+00 1.127191e-01
2.992805e+00 8.275613e-02
3.701121e+00 6.617139e-02
4.577077e+00 5.611364e-02
5.660348e+00 5.194772e-02
7.000000e+00 4.787597e-02
7.089677e+00 4.792901e-02
7.180503e+00 4.802056e-02
7.272493e+00 4.810852e-02
7.365661e+00 4.819707e-02
7.460023e+00 4.833289e-02
7.555593e+00 4.887271e-02
7.652388e+00 4.982087e-02
7.750423e+00 5.078029e-02
7.849714e+00 5.175871e-02
7.950277e+00 5.276118e-02
8.052128e+00 5.528738e-02
8.155284e+00 5.919914e-02
8.259761e+00 6.630194e-02
8.365577e+00 7.771239e-02
8.472749e+00 9.053742e-02
8.581293e+00 1.046501e-01
8.691229e+00 1.197527e-01
8.802572e+00 1.363720e-01
8.915342e+00 1.558813e-01
9.029557e+00 1.769481e-01
9.145235e+00 1.984558e-01
9.262394e+00 2.183407e-01
9.381055e+00 2.366582e-01
9.501236e+00 2.496620e-01
9.622957e+00 2.593657e-01
9.746237e+00 2.632412e-01
9.871096e+00 2.630167e-01
9.997555e+00 2.581595e-01
1.012563e+01 2.506831e-01
1.025535e+01 2.417572e-01
1.038673e+01 2.324700e-01
1.051980e+01 2.219774e-01
1.065457e+01 2.107648e-01
1.079107e+01 1.987957e-01
1.092931e+01 1.875993e-01
1.106933e+01 1.770663e-01
1.121113e+01 1.668736e-01
1.135476e+01 1.567736e-01
1.150023e+01 1.461456e-01
1.164756e+01 1.356056e-01
1.179677e+01 1.256748e-01
1.194790e+01 1.162411e-01
1.210097e+01 1.084228e-01
1.225599e+01 1.016703e-01
1.241300e+01 9.555810e-02
1.257203e+01 9.154728e-02
1.273309e+01 8.989263e-02
1.289621e+01 8.824913e-02
1.306143e+01 8.855131e-02
1.322876e+01 9.101940e-02
1.339823e+01 9.391661e-02
1.356988e+01 9.710147e-02
1.374372e+01 1.006917e-01
1.391979e+01 1.044301e-01
1.409812e+01 1.079685e-01
1.427873e+01 1.112086e-01
1.446165e+01 1.146373e-01
1.464692e+01 1.186075e-01
1.483456e+01 1.229304e-01
1.502461e+01 1.281844e-01
1.521709e+01 1.371646e-01
1.541204e+01 1.473145e-01
1.560948e+01 1.583531e-01
1.580946e+01 1.703776e-01
1.601199e+01 1.825972e-01
1.621712e+01 1.935336e-01
1.642488e+01 2.042333e-01
1.663530e+01 2.114902e-01
1.684841e+01 2.166874e-01
1.706426e+01 2.203486e-01
1.728287e+01 2.212009e-01
1.750428e+01 2.211944e-01
1.772853e+01 2.191343e-01
1.795565e+01 2.164134e-01
1.818568e+01 2.129659e-01
1.841866e+01 2.091343e-01
1.865462e+01 2.056161e-01
1.889360e+01 2.023172e-01
1.913565e+01 1.990935e-01
1.938080e+01 1.959591e-01
1.962908e+01 1.931798e-01
1.988055e+01 1.907441e-01
2.013524e+01 1.884820e-01
2.039320e+01 1.864151e-01
2.065445e+01 1.844089e-01
2.091906e+01 1.824702e-01
2.118705e+01 1.811759e-01
2.145848e+01 1.801969e-01
2.173339e+01 1.792451e-01
2.201181e+01 1.783259e-01
2.229381e+01 1.775338e-01
2.257941e+01 1.767558e-01
2.286868e+01 1.759830e-01
2.316165e+01 1.751627e-01
2.345837e+01 1.742873e-01
2.375890e+01 1.734127e-01
2.406328e+01 1.723219e-01
2.437155e+01 1.708322e-01
2.468378e+01 1.692733e-01
2.500000e+01 1.677181e-01
3.073734e+01 1.359230e-01
3.779135e+01 1.016000e-01
4.646422e+01 7.144857e-02
5.712745e+01 4.316543e-02
7.023782e+01 2.337658e-02
8.635694e+01 1.182922e-02
1.061753e+02 5.533016e-03
1.305418e+02 2.438823e-03
1.605003e+02 1.025166e-03
1.973341e+02 4.154246e-04
2.426209e+02 1.634300e-04
2.983008e+02 6.290727e-05
3.667589e+02 2.381249e-05
4.509277e+02 8.897986e-06
5.544126e+02 3.291719e-06
6.816467e+02 1.208324e-06
8.380801e+02 4.409055e-07
1.030414e+03 1.601555e-07
1.266887e+03 5.798505e-08
1.557629e+03 2.094930e-08
1.915095e+03 7.561451e-09
2.354597e+03 2.730134e-09
2.894961e+03 9.876087e-10
3.559336e+03 3.586586e-10
4.376180e+03 1.311106e-10
5.380484e+03 4.841834e-11
6.615270e+03 1.814788e-11
8.133431e+03 6.943944e-12
1.000000e+04 1.968311e-12
