# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 1.079889e-04
1.236673e-01 4.260333e-02
1.529360e-01 1.716041e-01
1.891319e-01 4.528990e-01
2.338943e-01 8.389854e-01
2.892508e-01 1.171968e+00
3.577086e-01 1.342119e+00
4.423686e-01 1.260599e+00
5.470654e-01 1.056211e+00
6.765410e-01 7.947639e-01
8.366600e-01 5.623292e-01
1.034675e+00 4.176713e-01
1.279555e+00 3.423601e-01
1.582391e+00 2.697005e-01
1.956900e+00 1.899386e-01
2.420045e+00 1.162308e-01
2.992805e+00 8.445058e-02
3.701121e+00 6.562378e-02
4.577077e+00 5.361285e-02
5.660348e+00 4.796300e-02
7.000000e+00 4.274252e-02
7.089677e+00 4.273574e-02
7.180503e+00 4.276752e-02
7.272493e+00 4.279814e-02
7.365661e+00 4.282451e-02
7.460023e+00 4.290072e-02
7.555593e+00 4.337719e-02
7.652388e+00 4.426793e-02
7.750423e+00 4.517347e-02
7.849714e+00 4.609946e-02
7.950277e+00 4.704776e-02
8.052128e+00 4.954727e-02
8.155284e+00 5.344643e-02
8.259761e+00 6.056013e-02
8.365577e+00 7.200236e-02
8.472749e+00 8.485685e-02
8.581293e+00 9.898768e-02
8.691229e+00 1.140610e-01
8.802572e+00 1.305733e-01
8.915342e+00 1.498682e-01
9.029557e+00 1.705960e-01
9.145235e+00 1.916612e-01
9.262394e+00 2.110462e-01
9.381055e+00 2.288301e-01
9.501236e+00 2.413433e-01
9.622957e+00 2.505909e-01
9.746237e+00 2.541045e-01
9.871096e+00 2.535964e-01
9.997555e+00 2.485482e-01
1.012563e+01 2.409407e-01
1.025535e+01 2.319201e-01
1.038673e+01 2.225530e-01
1.051980e+01 2.120108e-01
1.065457e+01 2.007667e-01
1.079107e+01 1.887835e-01
1.092931e+01 1.775599e-01
1.106933e+01 1.669896e-01
1.121113e+01 1.567538e-01
1.135476e+01 1.466083e-01
1.150023e+01 1.359417e-01
1.164756e+01 1.253631e-01
1.179677e+01 1.153886e-01
1.194790e+01 1.059142e-01
1.210097e+01 9.804995e-02
1.225599e+01 9.125556e-02
1.241300e+01 8.511555e-02
1.257203e+01 8.105523e-02
1.273309e+01 7.930364e-02
1.289621e+01 7.757139e-02
1.306143e+01 7.772873e-02
1.322876e+01 7.998127e-02
1.339823e+01 8.264690e-02
1.356988e+01 8.558922e-02
1.374372e+01 8.892218e-02
1.391979e+01 9.239629e-02
1.409812e+01 9.567357e-02
1.427873e+01 9.865802e-02
1.446165e+01 1.018219e-01
1.464692e+01 1.055071e-01
1.483456e+01 1.095302e-01
1.502461e+01 1.144522e-01
1.521709e+01 1.229870e-01
1.541204e+01 1.326557e-01
1.560948e+01 1.431839e-01
1.580946e+01 1.546634e-01
1.601199e+01 1.663221e-01
1.621712e+01 1.767210e-01
1.642488e+01 1.868761e-01
1.663530e+01 1.936781e-01
1.684841e+01 1.984740e-01
1.706426e+01 2.017744e-01
1.728287e+01 2.023496e-01
1.750428e+01 2.020898e-01
1.772853e+01 1.998398e-01
1.795565e+01 1.969488e-01
1.818568e+01 1.933541e-01
1.841866e+01 1.893880e-01
1.865462e+01 1.857256e-01
1.889360e+01 1.822767e-01
1.913565e+01 1.789030e-01
1.938080e+01 1.756191e-01
1.962908e+01 1.726817e-01
1.988055e+01 1.700796e-01
2.013524e+01 1.676498e-01
2.039320e+01 1.654134e-01
2.065445e+01 1.632422e-01
2.091906e+01 1.611437e-01
2.118705e+01 1.596665e-01
2.145848e+01 1.584955e-01
2.173339e+01 1.573571e-01
2.201181e+01 1.562572e-01
2.229381e+01 1.552852e-01
2.257941e+01 1.543352e-01
2.286868e+01 1.533994e-01
2.316165e+01 1.524297e-01
2.345837e+01 1.514205e-01
2.375890e+01 1.504244e-01
2.406328e+01 1.492433e-01
2.437155e+01 1.477137e-01
2.468378e+01 1.461411e-01
2.500000e+01 1.445930e-01
3.073734e+01 1.167643e-01
3.779135e+01 8.939622e-02
4.646422e+01 6.455948e-02
5.712745e+01 3.999190e-02
7.023782e+01 2.209659e-02
8.635694e+01 1.134904e-02
1.061753e+02 5.369943e-03
1.305418e+02 2.387749e-03
1.605003e+02 1.010250e-03
1.973341e+02 4.113051e-04
2.426209e+02 1.623430e-04
2.983008e+02 6.262950e-05
3.667589e+02 2.374313e-05
4.509277e+02 8.880948e-06
5.544126e+02 3.287588e-06
6.816467e+02 1.207331e-06
8.380801e+02 4.406688e-07
1.030414e+03 1.600993e-07
1.266887e+03 5.797182e-08
1.557629e+03 2.094620e-08
1.915095e+03 7.560730e-09
2.354597e+03 2.729968e-09
2.894961e+03 9.875709e-10
3.559336e+03 3.586502e-10
4.376180e+03 1.311088e-10
5.380484e+03 4.841798e-11
6.615270e+03 1.814782e-11
8.133431e+03 6.943937e-12
1.000000e+04 1.968312e-12
